ObjID	DropType	PrefabPath
-1	-1	Effect/Prefab/Common/Common_CaiJi01.prefab
1	0	Effect/Prefab/Common/Common_CaiJi01.prefab
2	0	Effect/Prefab/Common/Common_CaiJi01.prefab
3	0	Effect/Prefab/Common/Common_WuJian_shuijing_Bai.prefab
4	0	Effect/Prefab/Common/Common_CaiJi01.prefab
5	0	Effect/Prefab/Common/Common_CaiJi01.prefab
6	0	Effect/Prefab/Common/Common_WuJian_fuwen.prefab
7	0	Effect/Prefab/Common/Common_WuJian_zhuangbei.prefab
8	0	Effect/Prefab/Common/Common_WuJian_yingliang_1.prefab
9	0	Effect/Prefab/Common/Common_WuJian_yingliang_2.prefab
10	0	Effect/Prefab/Common/Common_WuJian_yingliang_3.prefab
11	0	Effect/Prefab/Common/Common_CaiJi01.prefab
12	0	Effect/Prefab/Common/Common_WuJian_baowudai_Bai.prefab
13	0	Effect/Prefab/Common/Common_CaiJi01.prefab
14	0	Effect/Prefab/Common/Common_WuJian_fuwen.prefab
15	0	Effect/Prefab/Common/Common_WuJian_zhuangbei.prefab
16	0	Effect/Prefab/Common/Common_WuJian_zhuangbei.prefab
17	0	Effect/Prefab/Common/BUFF_qiu_zhiliao.prefab
18	0	Effect/Prefab/Common/Common_CaiJi01.prefab
19	0	Effect/Prefab/Common/BUFF_qiu_gongji.prefab
20	0	Effect/Prefab/Common/Common_WuJian_baowudai_Bai.prefab
21	0	Effect/Prefab/Common/Common_WuJian_baowudai_Lv.prefab
22	0	Effect/Prefab/Common/Common_WuJian_baowudai_Lan.prefab
23	0	Effect/Prefab/Common/Common_WuJian_baowudai_Zi.prefab
24	0	Effect/Prefab/Common/Common_WuJian_shuijing_Bai.prefab
25	0	Effect/Prefab/Common/Common_WuJian_shuijing_Lv.prefab
26	0	Effect/Prefab/Common/Common_WuJian_shuijing_Lan.prefab
27	0	Effect/Prefab/Common/Common_WuJian_shuijing_Zi.prefab
28	0	Effect/Prefab/Common/BUFF_qiu_huang01.prefab
29	0	Effect/Prefab/Common/Common_WuJian_yuanbao_1.prefab
30	0	Effect/Prefab/Common/Common_WuJian_yuanbao_2.prefab
31	0	Effect/Prefab/Common/Common_WuJian_yuanbao_3.prefab
32	0	Effect/Prefab/Common/Common_WuDi.prefab
33	0	Effect/Prefab/Common/Common_JiFen.prefab
