NpcName	ShowName	NpcTemplateId	NpcLevel	LevelSettingKey	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType
<i18n=43521>		13152	1		5552	12139	25453	0	0	191	-1	0	0			
<i18n=12932>		13138	1		5551	19584	38040	0	0	191	-1	0	0			
<i18n=45068>		13162	1			8290	24672	0	0	191	-1	0	0			
		13163	1			11279	22220	0	0	191	-1	0	0			
		13163	1			10472	27494	0	0	191	-1	0	0			
		13163	1			18230	28254	0	0	191	-1	0	0			
		13163	1			12787	32484	0	0	191	-1	0	0			
		13163	1			10640	37794	0	0	191	-1	0	0			
		13163	1			10459	34023	0	0	191	-1	0	0			
		13163	1			8330	35889	0	0	191	-1	0	0			
		13163	1			7051	37526	0	0	191	-1	0	0			
		13163	1			7749	41199	0	0	191	-1	0	0			
		13163	1			10975	45034	0	0	191	-1	0	0			
		13163	1			13944	36649	0	0	191	-1	0	0			
		13163	1			18464	44884	0	0	191	-1	0	0			
		13163	1			21579	45162	0	0	191	-1	0	0			
		13163	1			14354	47414	0	0	191	-1	0	0			
		13163	1			11475	44534	0	0	191	-1	0	0			
		13163	1			16714	33906	0	0	191	-1	0	0			
		13163	1			25955	35656	0	0	191	-1	0	0			
		13163	1			30250	32710	0	0	191	-1	0	0			
		13163	1			30341	30773	0	0	191	-1	0	0			
		13163	1			23911	26646	0	0	191	-1	0	0			
		13163	1			21085	24133	0	0	191	-1	0	0			
		13163	1			19735	25460	0	0	191	-1	0	0			
		13163	1			21393	26977	0	0	191	-1	0	0			
		13163	1			28539	26200	0	0	191	-1	0	0			
		13163	1			30430	37581	0	0	191	-1	0	0			
		13161	1			10570	24682	0	0	191	-1	0	0			
		13161	1			8953	23010	0	0	191	-1	0	0			
		13161	1			10725	20697	0	0	191	-1	0	0			
		13161	1			12354	22474	0	0	191	-1	0	0			
		13161	1			13646	24014	0	0	191	-1	0	0			
		13161	1			11627	26238	0	0	191	-1	0	0			
		13161	1			18346	37579	0	0	191	-1	0	0			
		13161	1			20637	35458	0	0	191	-1	0	0			
		13161	1			22595	37461	0	0	191	-1	0	0			
		13161	1			20479	39635	0	0	191	-1	0	0			
		13161	1			24622	34492	0	0	191	-1	0	0			
		13161	1			21890	29333	0	0	191	-1	0	0			
		13161	1			25283	28517	0	0	191	-1	0	0			
		13161	1			28470	32520	0	0	191	-1	0	0			
		13161	1			27946	35769	0	0	191	-1	0	0			
		13161	1			18092	40955	0	0	191	-1	0	0			
		13161	1			16774	44227	0	0	191	-1	0	0			
		13161	1			14853	46134	0	0	191	-1	0	0			
		13161	1			12935	40945	0	0	191	-1	0	0			
		13163	1			14859	42108	0	0	191	-1	0	0			
