Type	PosX	PosY
PILLAR_1	41527	64742
PILLAR_4	85807	65799
PILLAR_3	85031	94745
PILLAR_2	41272	36822
GENERAL_1	34282	74740
GENERAL_2	56359	42033
MARSHAL_DIALOG_1	49377	27116
GENERAL_3	69795	89102
GENERAL_4	94297	52954
MARSHAL_DIALOG_2	74607	106516
MARSHAL_FIGHT_1	64041	66173
MARSHAL_MOVE_1_1	53635	35363
MARSHAL_MOVE_1_2	57974	48392
MARSHAL_MOVE_1_3	63051	53863
MARSHAL_MOVE_2_1	70270	95938
MARSHAL_MOVE_2_2	67334	84334
MARSHAL_MOVE_2_3	63393	79483
MARSHAL_MOVE_2_4	65531	67395
MARSHAL_MOVE_1_4	62668	65089
MINION_1_1	61047	67211
MINION_1_2	60932	65720
MINION_1_3	61072	64320
MINION_1_4	61797	63280
MINION_1_5	62717	62810
MINION_1_6	63622	62550
MINION_2_1	63820	69024
MINION_2_2	64905	68674
MINION_2_3	66166	67737
MINION_2_5	66845	64880
MINION_2_6	66226	63601
MINION_2_4	66800	66427
