nConfigId	nAwardLinkKey	szTimeFrameStart	szTimeFrameEnd	nShowAwardKey	nWorthCountText
1	1			7	800
1	2			8	2900
1	3		OpenLevel49	9	4880
1	3	OpenLevel49	OpenLevel59	10	5000
1	3	OpenLevel59	OpenLevel69	11	5000
1	3	OpenLevel69	OpenLevel79	12	5000
1	3	OpenLevel79	OpenLevel89	13	5500
1	3	OpenLevel89	OpenLevel99	14	5500
1	3	OpenLevel99	OpenLevel109	15	7300
1	3	OpenLevel109	OpenLevel129	16	7400
1	3	OpenLevel129	OpenLevel149	17	7900
1	3	OpenLevel149	OpenLevel169	18	8500
1	3	OpenLevel169	OpenLevel189	19	8900
1	3	OpenLevel189	OpenLevel209	191	10050
1	3	OpenLevel209	OpenLevel229	192	10300
1	3	OpenLevel229	OpenLevel249	193	10800
1	3	OpenLevel249		194	10800
1	4		OpenLevel69	20	6380
1	4	OpenLevel69	OpenLevel99	21	8600
1	4	OpenLevel99	OpenLevel129	22	9300
1	4	OpenLevel129	OpenLevel159	23	10000
1	4	OpenLevel159	OpenLevel189	24	10800
1	4	OpenLevel189	OpenLevel219	241	11500
1	4	OpenLevel219	OpenLevel249	242	12500
1	4	OpenLevel249		243	12500
1	5		OpenLevel69	25	11600
1	5	OpenLevel69	OpenLevel99	26	12200
1	5	OpenLevel99	OpenLevel129	27	13000
1	5	OpenLevel129	OpenLevel139	28	13800
1	5	OpenLevel139	OpenLevel149	29	14800
1	5	OpenLevel149	OpenLevel159	30	14800
1	5	OpenLevel159	OpenLevel169	31	15500
1	5	OpenLevel169	OpenLevel179	32	15500
1	5	OpenLevel179	OpenLevel189	33	15500
1	5	OpenLevel189	OpenLevel199	331	17000
1	5	OpenLevel199	OpenLevel209	332	17000
1	5	OpenLevel209	OpenLevel219	333	17000
1	5	OpenLevel219	OpenLevel229	334	17550
1	5	OpenLevel229	OpenLevel239	335	17550
1	5	OpenLevel239	OpenLevel249	336	17550
1	5	OpenLevel249	OpenLevel259	337	17550
1	5	OpenLevel259		338	17550
1	6		OpenLevel69	34	16632
