nConfigId	nMinMaturity	nMaxMaturity	nAwardId	nAwardKey
1	0	19	1135	1
1	20	39	1135	2
1	40	59	1135	3
1	60	79	1135	4
1	80	99	1135	5
1	100	119	1135	6
1	120	139	1135	7
1	140	159	1135	8
1	160	160	1135	9
1	161	169	1135	10
1	170	179	1135	11
1	180	189	1135	12
1	190	199	1135	13
1	200	209	1135	14
1	210	219	1135	15
1	220	229	1135	16
1	230	239	1135	17
1	240	249	1135	18
1	250	259	1135	19
1	260	269	1135	20
1	270	279	1135	21
1	280	289	1135	22
1	290	299	1135	23
1	300	309	1135	24
1	310	319	1135	25
1	320	329	1135	26
1	330	339	1135	27
1	340	349	1135	28
1	350	359	1135	29
1	360	369	1135	30
1	370	379	1135	31
1	380	389	1135	32
1	390	399	1135	33
1	400	400	1135	34
