Key	AwardType	AwardSubType	Count	TimeFrameMin	TimeFrameMax	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips
1	Gold		300				1			1	
2	Item	1929	6				1			1	
3	Item	212	80				1			1	
4	Gold		400				1			1	
5	Item	785	15				1			1	
6	Gold		550				1			1	
7	Item	30041	3				1			1	
8	Item	1929	15				1			1	
9	Gold		800				1			1	
10	Item	2431	1				1			1	
11	Gold		300				1			1	
12	Item	212	100				1			1	
13	Gold		600				1			1	
14	Item	30101	10				1			1	
15	Item	2431	1				1			1	
16	Item	231	60				1			1	
17	Item	30940	1				1			1	
18	Gold		1200				1			1	
19	Item	232	30				1			1	
20	Item	30517	1				1			1	
21	Gold		300				1			1	
22	Item	212	100				1			1	
23	Gold		600				1			1	
24	Item	30101	10				1			1	
25	Item	2431	1				1			1	
26	Item	231	60				1			1	
27	Item	30940	1				1			1	
28	Gold		1200				1			1	
29	Item	232	30				1			1	
30	Item	30517	1				1			1	
31	Gold		300				1			1	
32	Item	212	100				1			1	
33	Gold		600				1			1	
34	Item	30101	10				1			1	
35	Item	2431	1				1			1	
36	Item	231	60				1			1	
37	Item	30940	1				1			1	
38	Gold		1200				1			1	
39	Item	232	30				1			1	
40	Item	30517	1				1			1	
41	Gold		300				1			1	
42	Item	212	100				1			1	
43	Gold		600				1			1	
44	Item	30101	10				1			1	
45	Item	2431	1				1			1	
46	Item	231	60				1			1	
47	Item	30940	1				1			1	
48	Gold		1200				1			1	
49	Item	232	30				1			1	
50	Item	30517	1				1			1	
51	Gold		300				1			1	
52	Item	212	100				1			1	
53	Gold		600				1			1	
54	Item	30101	10				1			1	
55	Item	2431	1				1			1	
56	Item	231	60				1			1	
57	Item	30940	1				1			1	
58	Gold		1200				1			1	
59	Item	232	30				1			1	
60	Item	30517	1				1			1	
61	Gold		300				1			1	
62	Item	212	100				1			1	
63	Gold		600				1			1	
64	Item	30101	10				1			1	
65	Item	2431	1				1			1	
66	Item	231	60				1			1	
67	Item	30940	1				1			1	
68	Gold		1200				1			1	
69	Item	232	30				1			1	
70	Item	30517	1				1			1	
71	Gold		300				1			1	
72	Item	212	100				1			1	
73	Gold		600				1			1	
74	Item	30101	10				1			1	
75	Item	2431	1				1			1	
76	Item	231	60				1			1	
77	Item	30940	1				1			1	
78	Gold		1200				1			1	
79	Item	232	30				1			1	
80	Item	30517	1				1			1	
81	Gold		300				1			1	
82	Item	212	100				1			1	
83	Gold		600				1			1	
84	Item	30101	10				1			1	
85	Item	2431	1				1			1	
86	Item	231	60				1			1	
87	Item	30940	1				1			1	
88	Gold		1200				1			1	
89	Item	232	30				1			1	
90	Item	30517	1				1			1	
91	Gold		300				1			1	
92	Item	212	100				1			1	
93	Gold		600				1			1	
94	Item	30101	10				1			1	
95	Item	2431	1				1			1	
96	Item	231	60				1			1	
97	Item	30940	1				1			1	
98	Gold		1200				1			1	
99	Item	232	30				1			1	
100	Item	30517	1				1			1	
