nLevel	nMax	nPrice	nFund	nContrib
1	5	10	500	200
1	10	20	800	200
1	30	25	1000	200
1	60	30	1200	200
1	100	35	1200	200
1	1000	40	1200	200
2	5	10	500	200
2	10	20	800	200
2	30	25	1000	200
2	60	30	1200	200
2	100	35	1200	200
2	1000	40	1200	200
3	5	10	500	200
3	10	20	800	200
3	30	25	1000	200
3	60	30	1200	200
3	100	35	1200	200
3	1000	40	1200	200
4	5	10	500	200
4	10	20	800	200
4	30	25	1000	200
4	60	30	1200	200
4	100	35	1200	200
4	1000	40	1200	200
5	5	10	500	200
5	10	20	800	200
5	30	25	1000	200
5	60	30	1200	200
5	100	35	1200	200
5	1000	40	1200	200
6	5	10	500	200
6	10	20	800	200
6	30	25	1000	200
6	60	30	1200	200
6	100	35	1200	200
6	1000	40	1200	200
7	5	10	500	200
7	10	20	800	200
7	30	25	1000	200
7	60	30	1200	200
7	100	35	1200	200
7	1000	40	1200	200
8	5	10	500	200
8	10	20	800	200
8	30	25	1000	200
8	60	30	1200	200
8	100	35	1200	200
8	1000	40	1200	200
9	5	10	500	200
9	10	20	800	200
9	30	25	1000	200
9	60	30	1200	200
9	100	35	1200	200
9	1000	40	1200	200
10	5	10	500	200
10	10	20	800	200
10	30	25	1000	200
10	60	30	1200	200
10	100	35	1200	200
10	1000	40	1200	200
11	5	10	500	200
11	10	20	800	200
11	30	25	1000	200
11	60	30	1200	200
11	100	35	1200	200
11	1000	40	1200	200
12	5	10	500	200
12	10	20	800	200
12	30	25	1000	200
12	60	30	1200	200
12	100	35	1200	200
12	1000	40	1200	200
13	5	10	500	200
13	10	20	800	200
13	30	25	1000	200
13	60	30	1200	200
13	100	35	1200	200
13	1000	40	1200	200
14	5	10	500	200
14	10	20	800	200
14	30	25	1000	200
14	60	30	1200	200
14	100	35	1200	200
14	1000	40	1200	200
15	5	10	500	200
15	10	20	800	200
15	30	25	1000	200
15	60	30	1200	200
15	100	35	1200	200
15	1000	40	1200	200
16	5	10	500	200
16	10	20	800	200
16	30	25	1000	200
16	60	30	1200	200
16	100	35	1200	200
16	1000	40	1200	200
17	5	10	500	200
17	10	20	800	200
17	30	25	1000	200
17	60	30	1200	200
17	100	35	1200	200
17	1000	40	1200	200
18	5	10	500	200
18	10	20	800	200
18	30	25	1000	200
18	60	30	1200	200
18	100	35	1200	200
18	1000	40	1200	200
19	5	10	500	200
19	10	20	800	200
19	30	25	1000	200
19	60	30	1200	200
19	100	35	1200	200
19	1000	40	1200	200
20	5	10	500	200
20	10	20	800	200
20	30	25	1000	200
20	60	30	1200	200
20	100	35	1200	200
20	1000	40	1200	200
21	5	10	500	200
21	10	20	800	200
21	30	25	1000	200
21	60	30	1200	200
21	100	35	1200	200
21	1000	40	1200	200
22	5	10	500	200
22	10	20	800	200
22	30	25	1000	200
22	60	30	1200	200
22	100	35	1200	200
22	1000	40	1200	200
23	5	10	500	200
23	10	20	800	200
23	30	25	1000	200
23	60	30	1200	200
23	100	35	1200	200
23	1000	40	1200	200
24	5	10	500	200
24	10	20	800	200
24	30	25	1000	200
24	60	30	1200	200
24	100	35	1200	200
24	1000	40	1200	200
25	5	10	500	200
25	10	20	800	200
25	30	25	1000	200
25	60	30	1200	200
25	100	35	1200	200
25	1000	40	1200	200
26	5	10	500	200
26	10	20	800	200
26	30	25	1000	200
26	60	30	1200	200
26	100	35	1200	200
26	1000	40	1200	200
27	5	10	500	200
27	10	20	800	200
27	30	25	1000	200
27	60	30	1200	200
27	100	35	1200	200
27	1000	40	1200	200
28	5	10	500	200
28	10	20	800	200
28	30	25	1000	200
28	60	30	1200	200
28	100	35	1200	200
28	1000	40	1200	200
