nBuildingType	nLevel	nDiscount
1	1	100
1	2	80
1	3	70
1	4	60
1	5	50
1	6	40
1	7	30
1	8	30
1	9	30
1	10	30
1	11	30
1	12	30
1	13	30
1	14	30
1	15	30
1	16	30
1	17	30
1	18	30
1	19	30
1	20	30
1	21	30
1	22	30
1	23	30
1	24	30
1	25	30
1	26	30
1	27	30
1	28	30
2	1	100
2	2	95
2	3	90
2	4	85
2	5	80
2	6	75
2	7	70
2	8	65
2	9	60
2	10	55
2	11	50
2	12	45
2	13	40
2	14	35
2	15	30
2	16	30
2	17	30
2	18	30
2	19	30
2	20	30
2	21	30
2	22	30
2	23	30
2	24	30
2	25	30
2	26	30
2	27	30
2	28	30
3	1	100
3	2	95
3	3	90
3	4	85
3	5	80
3	6	75
3	7	70
3	8	65
3	9	60
3	10	55
3	11	50
3	12	45
3	13	40
3	14	35
3	15	30
3	16	30
3	17	30
3	18	30
3	19	30
3	20	30
3	21	30
3	22	30
3	23	30
3	24	30
3	25	30
3	26	30
3	27	30
3	28	30
6	1	100
6	2	95
6	3	90
6	4	85
6	5	80
6	6	75
6	7	70
6	8	65
6	9	60
6	10	55
6	11	50
6	12	45
6	13	40
6	14	35
6	15	30
6	16	30
6	17	30
6	18	30
6	19	30
6	20	30
6	21	30
6	22	30
6	23	30
6	24	30
6	25	30
6	26	30
6	27	30
6	28	30
