NpcName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle
<i18n=587>	9237	1		23020	69155	0	1	191	-1	0	0		
<i18n=63>	9238	1		43124	78279	0	1	191	-1	0	0		
<i18n=2584>	9239	1	167	36110	56640	0	1	191	-1	0	0		
<i18n=15966>	7252	1		30685	32284	0	0	191	-1	0	0		
<i18n=12249>	7253	1		34756	87537	0	0	191	-1	0	0		
<i18n=11790>	7258	1		45179	66102	0	0	191	-1	0	0		
<i18n=4271>	7257	1		41933	55599	0	0	191	-1	0	0		
<i18n=16017>	7165	1		39761	44937	0	0	130	-1	0	0		
<i18n=7000>	7266	1		20682	49652	0	1	191	-1	0	0		
<i18n=7183>	7277	1		42036	73154	0	0	191	-1	0	0		
<i18n=1374>	7278	1		34383	38890	0	0	191	-1	0	0		
