Key	AwardType	AwardSubType	Count	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut
1	BasicExp		80				1			1		
1	KinContrib		1000				1			1		
1	ZhuLuRepute		30				1			1		
1	Item	671601	4				1			1		
1	Item	671602	5				1			1		
1	Item	504	5	OpenLevel99	OpenLevel129		1			1		
1	Item	505	5	OpenLevel129	OpenLevel159		1			1		
1	Item	500	5	OpenLevel159	OpenLevel189		1			1		
1	Item	499	5	OpenLevel189	OpenLevel219		1			1		
1	Item	760	5	OpenLevel219	OpenLevel249		1			1		
1	Item	761	5	OpenLevel249	OpenLevel279		1			1		
1	Item	762	5	OpenLevel279			1			1		
2	BasicExp		90				1			1		
2	KinContrib		1000				1			1		
2	ZhuLuRepute		30				1			1		
2	Item	671601	4				1			1		
2	Item	671602	5				1			1		
2	Item	504	5	OpenLevel99	OpenLevel129		1			1		
2	Item	505	5	OpenLevel129	OpenLevel159		1			1		
2	Item	500	5	OpenLevel159	OpenLevel189		1			1		
2	Item	499	5	OpenLevel189	OpenLevel219		1			1		
2	Item	760	5	OpenLevel219	OpenLevel249		1			1		
2	Item	761	5	OpenLevel249	OpenLevel279		1			1		
2	Item	762	5	OpenLevel279			1			1		
3	BasicExp		100				1			1		
3	KinContrib		1500				1			1		
3	ZhuLuRepute		30				1			1		
3	Item	671601	8				1			1		
3	Item	671602	8				1			1		
3	Item	504	8	OpenLevel99	OpenLevel129		1			1		
3	Item	505	8	OpenLevel129	OpenLevel159		1			1		
3	Item	500	8	OpenLevel159	OpenLevel189		1			1		
3	Item	499	8	OpenLevel189	OpenLevel219		1			1		
3	Item	760	8	OpenLevel219	OpenLevel249		1			1		
3	Item	761	8	OpenLevel249	OpenLevel279		1			1		
3	Item	762	8	OpenLevel279			1			1		
