HONOR_LEVEL	HONOR_NAME	ITEM_ID	ITEM_TIMEOUT	FONT_COLOR	FONT_OUTLINE_COLOR	GLOW_COLOR	OUTLINE_COLOR	STAR_COLOR	STAR_GLOW_COLOR	GRADIENT1	GRADIENT2	STAR_GRADIENT1	STAR_GRADIENT2	STAR_OUTLINE_COLOR
1	<i18n=1537>	43501	604800	402	403	401	400	402	425	0	0	0	0	0
2	<i18n=11886>	43502	604800	405	406	404	400	432	426	0	0	0	0	0
3	<i18n=3934>	43503	604800	405	406	404	400	432	426	0	0	0	0	0
4	<i18n=8374>	43504	604800	408	409	407	400	433	427	0	0	0	0	0
5	<i18n=8529>	43505	604800	408	409	407	400	433	427	0	0	0	0	0
6	<i18n=2428>	43506	604800	411	412	410	400	411	428	0	0	0	0	0
7	<i18n=10204>	43507	604800	411	412	410	400	411	428	0	0	0	0	0
8	<i18n=6949>	43508	604800	414	415	413	400	422	429	0	0	0	0	0
9	<i18n=2636>	43509	604800	414	415	413	400	422	429	0	0	0	0	0
10	<i18n=13127>	43510	604800	417	418	416	400	423	430	0	0	0	0	0
11	<i18n=32808>	43512	604800	434	435	416	400	436	437	0	0	0	0	0
12	<i18n=32781>	43513	604800	438	439	416	400	440	441	0	0	0	0	0
13	<i18n=32782>	43514	604800	442	443	416	400	444	445	0	0	0	0	0
14	<i18n=69>	43511	604800	446	447	419	420	424	431	0	0	0	0	0
15	<i18n=59334>	43515	604800	448	449	419	400	452	453	450	451	450	454	455
16	<i18n=59339>	43516	604800	456	457	419	400	459	460	450	458	450	461	462
17	<i18n=59283>	43517	604800	463	464	419	400	466	467	450	465	450	468	469
18	<i18n=59469>	43518	604800	470	471	419	400	473	474	450	472	450	475	476
19	<i18n=59365>	43519	604800	477	478	419	400	480	481	450	479	450	482	483
