nConfigID	nComposeType	nIndex	nSaveKeyID	nNeedNum	nAwardID	nAwardKey	szInfo
2	1	1	4	30	1125	18	<i18n=25204>
2	1	2	5	60	1125	19	<i18n=25205>
2	1	3	6	100	1125	20	<i18n=25208>
2	2	1	7	30	1125	15	<i18n=25206>
2	2	2	8	60	1125	16	<i18n=25202>
2	2	3	9	100	1125	17	<i18n=25203>
3	1	1	4	50	1134	5	<i18n=26127>
3	1	2	5	100	1134	6	<i18n=26138>
3	1	3	6	150	1134	7	<i18n=26145>
3	1	4	7	200	1134	8	<i18n=26122>
3	1	5	8	250	1134	9	<i18n=26144>
5	1	1	4	50	1149	13	<i18n=28919>
5	1	2	5	100	1149	14	<i18n=28943>
5	1	3	6	150	1149	15	<i18n=28931>
5	2	1	7	50	1149	10	<i18n=28946>
5	2	2	8	100	1149	11	<i18n=28930>
5	2	3	9	150	1149	12	<i18n=28911>
