nConfigId	nMapTemplateId	nAwardId	nAwardKey	_desc
1	88	1125	6	<i18n=14769>
1	89	1125	6	<i18n=13405>
1	48	1125	6	<i18n=221>
1	25	1125	6	<i18n=5705>
1	27	1125	6	<i18n=6955>
1	28	1125	6	<i18n=6920>
1	29	1125	24	<i18n=16036>
1	26	1125	24	<i18n=288>
1	61	1125	24	<i18n=3569>
1	7	1125	25	<i18n=10435>
1	49	1125	25	<i18n=2541>
1	51	1125	25	<i18n=7804>
1	33	1125	26	<i18n=15135>
1	32	1125	26	<i18n=14439>
1	30	1125	27	<i18n=14934>
1	34	1125	27	<i18n=7093>
1	38	1125	28	<i18n=10192>
1	36	1125	28	<i18n=108>
1	39	1125	29	<i18n=6695>
1	35	1125	29	<i18n=402>
1	37	1125	12	<i18n=3845>
1	6	1125	12	<i18n=8860>
