TemplateId	Name	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	AttributePower	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	White1	Green1	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	White2	Green2	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel	bForbidToBox
43601	<i18n=5627>	43601	12	1	1	1	101					1000	3	1000	0	equip			26	lifemax_v	60	60																																												
43602	<i18n=9317>	43602	12	1	1	1	101					1000	3	1000	0	equip			26	lifemax_v	60	60																																												
43603	<i18n=9073>	43603	12	1	1	1	101					1000	3	1000	0	equip			26	lifemax_v	60	60																																												
43604	<i18n=5125>	43604	12	1	1	1	101					1000	3	1000	0	equip			26	lifemax_v	60	60																																												
43605	<i18n=14028>	43605	12	1	1	1	101					1000	3	1000	0	equip			26	lifemax_v	60	60																																												
43606	<i18n=13791>	43606	12	1	1	1	101					1000	3	1000	0	equip			26	lifemax_v	60	60																																												
43607	<i18n=7070>	43607	12	1	1	1	101					1000	3	1000	0	equip			26	lifemax_v	60	60																																												
43608	<i18n=12332>	43608	12	1	1	1	101					1000	3	1000	0	equip			26	lifemax_v	60	60																																												
43609	<i18n=15324>	43609	12	1	1	1	101					1000	3	1000	0	equip			26	lifemax_v	60	60																																												
43610	<i18n=2076>	43610	12	1	1	1	101					1000	3	1000	0	equip			26	lifemax_v	60	60																																												
43611	<i18n=8603>	43611	12	1	1	1	101					1000	3	1000	0	equip			26	lifemax_v	60	60																																												
43612	<i18n=4745>	43612	12	1	1	1	101					1000	3	1000	0	equip			26	lifemax_v	60	60																																												
43613	<i18n=4022>	43613	12	1	1	1	101					1000	3	1000	0	equip			26	lifemax_v	60	60																																												
43614	<i18n=3033>	43614	12	1	1	1	101					1000	3	1000	0	equip			26	lifemax_v	60	60																																												
43615	<i18n=5615>	43615	12	1	1	1	101					1000	3	1000	0	equip			26	lifemax_v	60	60																																												
43616	<i18n=10710>	43616	12	1	1	1	101					1000	3	1000	0	equip			26	lifemax_v	60	60																																												
43617	<i18n=8063>	43617	12	1	1	1	101					1000	3	1000	0	equip			26	lifemax_v	60	60																																												
43618	<i18n=623>	43618	12	1	1	1	101					1000	3	1000	0	equip			26	lifemax_v	60	60																																												
43619	<i18n=4154>	43619	12	1	1	1	101					1000	3	1000	0	equip			26	lifemax_v	60	60																																												
43620	<i18n=11512>	43620	12	1	1	1	101					1000	3	1000	0	equip			26	lifemax_v	60	60																																												
43621	<i18n=4110>	43621	12	1	1	1	101					1000	3	1000	0	equip			26	lifemax_v	60	60																																												
