TemplateId	Name	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	bForbidToBox
2401	<i18n=SecretBook>		12	2	1	40		6101	6101		<i18n=6779>	400000	3	400000		SkillBook																																																		
2402	<i18n=SecretBook>		12	2	1	40		6101	6101		<i18n=6779>	400000	3	400000		SkillBook																																																		
2403	<i18n=SecretBook>		12	2	1	40		6201	6201		<i18n=6779>	400000	3	400000		SkillBook																																																		
2404	<i18n=SecretBook>		12	2	1	40		6201	6201		<i18n=6779>	400000	3	400000		SkillBook																																																		
2405	<i18n=SecretBook>		12	2	1	40		6201	6201		<i18n=6779>	400000	3	400000		SkillBook																																																		
2406	<i18n=SecretBook>		12	2	1	40		6301	6301		<i18n=6779>	400000	3	400000		SkillBook																																																		
2407	<i18n=SecretBook>		12	2	1	40		6301	6301		<i18n=6779>	400000	3	400000		SkillBook																																																		
2408	<i18n=SecretBook>		12	2	1	40		6301	6301		<i18n=6779>	400000	3	400000		SkillBook																																																		
2409	<i18n=SecretBook>		12	2	1	40		6401	6401		<i18n=6779>	400000	3	400000		SkillBook																																																		
2410	<i18n=SecretBook>		12	2	1	40		6401	6401		<i18n=6779>	400000	3	400000		SkillBook																																																		
2411	<i18n=SecretBook>		12	2	1	40		6401	6401		<i18n=6779>	400000	3	400000		SkillBook																																																		
2412	<i18n=SecretBook>		12	2	1	40		6501	6501		<i18n=6779>	400000	3	400000		SkillBook																																																		
2413	<i18n=SecretBook>		12	2	1	40		6501	6501		<i18n=6779>	400000	3	400000		SkillBook																																																		
2414	<i18n=SecretBook>		12	2	1	40		6501	6501		<i18n=6779>	400000	3	400000		SkillBook																																																		
2415	<i18n=SecretBook>		12	2	1	40		6601	6601		<i18n=6779>	400000	3	400000		SkillBook																																																		
2416	<i18n=SecretBook>		12	2	1	40		6601	6601		<i18n=6779>	400000	3	400000		SkillBook																																																		
2417	<i18n=SecretBook>		12	2	1	40		6601	6601		<i18n=6779>	400000	3	400000		SkillBook																																																		
