TemplateId	Name	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	AttributePower	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	White1	Green1	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	White2	Green2	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel	bForbidToBox	bQuickUse
43501	<i18n=19121>	43501	15	11	1	1	101	43501	43501		<i18n=789>	10000	1	515	0	MantleEquip		5150	1400	lifemax_p	7	7	0			add_base_damage_p	2	2	0			all_series_resist_v	86	86	0	mantle_level_damage_p	1	1	0																											1	1
43502	<i18n=19127>	43502	15	11	2	1	201	43502	43502		<i18n=699>	10000	1	1030	0	MantleEquip		10300	1900	lifemax_p	14	14	0			add_base_damage_p	3	3	0			all_series_resist_v	172	172	0	mantle_level_damage_p	2	2	0																											1	1
43503	<i18n=19119>	43503	15	11	3	1	301	43503	43503		<i18n=5007>	10000	2	1545	0	MantleEquip		15450	2400	lifemax_p	21	21	0			add_base_damage_p	5	5	0			all_series_resist_v	258	258	0	mantle_level_damage_p	3	3	0																											1	1
43504	<i18n=19125>	43504	15	11	4	1	401	43504	43504		<i18n=15852>	10000	2	2060	0	MantleEquip		20600	3200	lifemax_p	27	27	0			add_base_damage_p	7	7	0			all_series_resist_v	343	343	0	mantle_level_damage_p	4	4	0																											1	1
43505	<i18n=19120>	43505	15	11	5	1	501	43505	43505		<i18n=15467>	10000	3	2575	0	MantleEquip		25750	4300	lifemax_p	34	34	0			add_base_damage_p	9	9	0			all_series_resist_v	429	429	0	mantle_level_damage_p	5	5	0																											1	1
43506	<i18n=19124>	43506	15	11	6	1	601	43506	43506		<i18n=2085>	10000	3	3090	0	MantleEquip		30900	5700	lifemax_p	41	41	0			add_base_damage_p	10	10	0			all_series_resist_v	515	515	0	mantle_level_damage_p	6	6	0																											1	1
43507	<i18n=19123>	43507	15	11	7	1	701	43507	43507		<i18n=9510>	10000	3	3605	0	MantleEquip		36050	7300	lifemax_p	48	48	0			add_base_damage_p	12	12	0			all_series_resist_v	601	601	0	mantle_level_damage_p	7	7	0																											1	1
43508	<i18n=19126>	43508	15	11	8	1	801	43508	43508		<i18n=12355>	10000	4	4120	0	MantleEquip		41200	9500	lifemax_p	55	55	0			add_base_damage_p	14	14	0			all_series_resist_v	687	687	0	mantle_level_damage_p	8	8	0																											1	1
43509	<i18n=19117>	43509	15	11	9	1	901	43509	43509		<i18n=15714>	10000	4	4635	0	MantleEquip		46350	14300	lifemax_p	62	62	0			add_base_damage_p	15	15	0			all_series_resist_v	773	773	0	mantle_level_damage_p	9	9	0																											1	1
43510	<i18n=19122>	43510	15	11	10	1	1001	43510	43510		<i18n=6026>	10000	6	5150	0	MantleEquip		51500	28600	lifemax_p	69	69	0			add_base_damage_p	17	17	0			all_series_resist_v	858	858	0	mantle_level_damage_p	10	10	0																											1	1
43512	<i18n=32792>	43512	15	11	11	1	1101	43532	43532		<i18n=32795>	10000	6	5665	0	MantleEquip		56650	35900	lifemax_p	76	76	0			add_base_damage_p	19	19	0			all_series_resist_v	944	944	0	mantle_level_damage_p	11	11	0																											1	1
43513	<i18n=32751>	43513	15	11	12	1	1101	43533	43533		<i18n=32767>	10000	6	6077	0	MantleEquip		60770	44800	lifemax_p	81	81	0			add_base_damage_p	20	20	0			all_series_resist_v	1013	1013	0	mantle_level_damage_p	12	12	0																											1	1
43514	<i18n=32773>	43514	15	11	13	1	1101	43534	43534		<i18n=32801>	10000	7	6386	0	MantleEquip		63860	53700	lifemax_p	85	85	0			add_base_damage_p	21	21	0			all_series_resist_v	1064	1064	0	mantle_level_damage_p	13	13	0																											1	1
43511	<i18n=19118>	43511	15	11	14	1	1101	43511	43511		<i18n=3152>	10000	7	6644	0	MantleEquip		66440	64500	lifemax_p	89	89	0			add_base_damage_p	22	22	0			all_series_resist_v	1107	1107	0	mantle_level_damage_p	14	14	0																											1	1
43515	<i18n=59486>	43515	15	11	15	1	1101	43535	43535		<i18n=59359>	10000	7	6902	0	MantleEquip		69020	65000	lifemax_p	90	90	0			add_base_damage_p	23	23	0			all_series_resist_v	1150	1150	0	mantle_level_damage_p	15	15	0																											1	1
43516	<i18n=59305>	43516	15	11	16	1	1101	43536	43536		<i18n=59317>	10000	7	7160	0	MantleEquip		71600	65500	lifemax_p	91	91	0			add_base_damage_p	24	24	0			all_series_resist_v	1193	1193	0	mantle_level_damage_p	16	16	0																											1	1
43517	<i18n=59366>	43517	15	11	17	1	1101	43511	43511		<i18n=59325>	10000	7	7418	0	MantleEquip		74180	66000	lifemax_p	92	92	0			add_base_damage_p	25	25	0			all_series_resist_v	1236	1236	0	mantle_level_damage_p	17	17	0																											1	1
43518	<i18n=59302>	43518	15	11	18	1	1101	43511	43511		<i18n=59517>	10000	7	7676	0	MantleEquip		76760	66500	lifemax_p	93	93	0			add_base_damage_p	26	26	0			all_series_resist_v	1279	1279	0	mantle_level_damage_p	18	18	0																											1	1
43519	<i18n=59494>	43519	15	11	19	1	1101	43511	43511		<i18n=59395>	10000	7	7934	0	MantleEquip		79340	67000	lifemax_p	94	94	0			add_base_damage_p	27	27	0			all_series_resist_v	1322	1322	0	mantle_level_damage_p	19	19	0																											1	1
43531	<i18n=33161>	43531	15	11	10	1	1001	43510	43510		<i18n=33153>	10000	6	5150	0	MantleEquip		51500	28600	lifemax_p	69	69	0			add_base_damage_p	17	17	0			all_series_resist_v	858	858	0	mantle_level_damage_p	10	10	0																											1	1
43532	<i18n=33172>	43532	15	11	11	1	1101	43532	43532		<i18n=33177>	10000	6	5665	0	MantleEquip		56650	35900	lifemax_p	76	76	0			add_base_damage_p	19	19	0			all_series_resist_v	944	944	0	mantle_level_damage_p	11	11	0																											1	1
43533	<i18n=33166>	43533	15	11	12	1	1101	43533	43533		<i18n=33149>	10000	6	6077	0	MantleEquip		60770	44800	lifemax_p	81	81	0			add_base_damage_p	20	20	0			all_series_resist_v	1013	1013	0	mantle_level_damage_p	12	12	0																											1	1
43534	<i18n=33174>	43534	15	11	13	1	1101	43534	43534		<i18n=33173>	10000	7	6386	0	MantleEquip		63860	53700	lifemax_p	85	85	0			add_base_damage_p	21	21	0			all_series_resist_v	1064	1064	0	mantle_level_damage_p	13	13	0																											1	1
43535	<i18n=33152>	43535	15	11	14	1	1101	43511	43511		<i18n=33160>	10000	7	6644	0	MantleEquip		66440	64500	lifemax_p	89	89	0			add_base_damage_p	22	22	0			all_series_resist_v	1107	1107	0	mantle_level_damage_p	14	14	0																											1	1
43536	<i18n=59466>	43536	15	11	15	1	1101	43535	43535		<i18n=59380>	10000	7	6902	0	MantleEquip		69020	65000	lifemax_p	90	90	0			add_base_damage_p	23	23	0			all_series_resist_v	1150	1150	0	mantle_level_damage_p	15	15	0																											1	1
43537	<i18n=59285>	43537	15	11	16	1	1101	43536	43536		<i18n=59457>	10000	7	7160	0	MantleEquip		71600	65500	lifemax_p	91	91	0			add_base_damage_p	24	24	0			all_series_resist_v	1193	1193	0	mantle_level_damage_p	16	16	0																											1	1
43538	<i18n=59447>	43538	15	11	17	1	1101	43511	43511		<i18n=59495>	10000	7	7418	0	MantleEquip		74180	66000	lifemax_p	92	92	0			add_base_damage_p	25	25	0			all_series_resist_v	1236	1236	0	mantle_level_damage_p	17	17	0																											1	1
43539	<i18n=59276>	43539	15	11	18	1	1101	43511	43511		<i18n=59414>	10000	7	7676	0	MantleEquip		76760	66500	lifemax_p	93	93	0			add_base_damage_p	26	26	0			all_series_resist_v	1279	1279	0	mantle_level_damage_p	18	18	0																											1	1
43540	<i18n=59413>	43540	15	11	19	1	1101	43511	43511		<i18n=59496>	10000	7	7934	0	MantleEquip		79340	67000	lifemax_p	94	94	0			add_base_damage_p	27	27	0			all_series_resist_v	1322	1322	0	mantle_level_damage_p	19	19	0																											1	1
