TemplateId	Name	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	AttributePower	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	Active10Type	Active1Type	Active2Type	Active3Type	Active4Type	Active5Type	Active6Type	Active7Type	Active8Type	Active9Type	TimeOut	bForbidToBox	Source
43401	<i18n=9895>	43401	11	12	1	1	1	43401			<i18n=17519>		2	2400	0	horse		0	1125	runspeed_v	10	10	0																																						1	1										<i18n=8581>
43402	<i18n=13641>	43402	11	12	2	1	1	43402			<i18n=17560>		2	2400	0	horse		0	4500	runspeed_v	40	40	0																																						1	1										<i18n=6006>
43403	<i18n=3527>	43403	11	12	3	1	1	43403			<i18n=17518>		2	3600	0	horse		0	12000	runspeed_v	80	80	0																																						1	1										<i18n=10026>
43404	<i18n=12182>	43404	11	12	4	1	1	43404			<i18n=17510>		2	3600	0	horse		0	22500	runspeed_v	130	130	0																																						1	1										<i18n=3081>
43405	<i18n=9597>	43405	11	12	5	1	1	43405			<i18n=17609>		3	4800	0	horse		0	36250	runspeed_v	130	130	0																																						1	1										<i18n=10389>
43406	<i18n=1012>	43406	11	12	6	1	1	43406			<i18n=17598>		3	4800	0	horse		0	54000	runspeed_v	130	130	0																																						1	1										<i18n=3507>
43407	<i18n=14355>	43407	11	12	7	1	1	43407			<i18n=17513>		3	4800	0	horse		0	76000	runspeed_v	130	130	0																																						1	1										<i18n=9045>
43408	<i18n=12380>	43408	11	12	8	1	1	43408			<i18n=17504>		3	4800	0	horse		0	100500	runspeed_v	130	130	0																																						1	1										<i18n=5971>
43409	<i18n=8460>	43409	11	12	9	1	1	43409			<i18n=17570>		4	4800	0	horse		0	125000	runspeed_v	130	130	0																																						1	1										<i18n=14834>
43410	<i18n=10357>	43410	11	12	10	1	1	43410			<i18n=17543>		4	7200	0	horse		0	149500	runspeed_v	130	130	0																																						1	1										<i18n=7119>
43411	<i18n=7080>	43411	11	12	11	1	1	43411			<i18n=17551>		4	7200	0	horse		0	174000	runspeed_v	130	130	0																																						1	1										<i18n=13863>
43412	<i18n=2254>	43412	11	12	12	1	1	43412			<i18n=17574>		4	7200	0	horse		0	198500	runspeed_v	130	130	0																																						1	1										<i18n=3903>
43413	<i18n=14399>	43413	11	12	1	1	1	43420			<i18n=6256>		4	7200	0	horse		0	1	runspeed_v	130	130	0																																						1	1										<i18n=8297>
43414	<i18n=6407>	43414	11	12	1	1	1	43421			<i18n=10545>		4	7200	0	horse		0	1	runspeed_v	130	130	0																																						1	1										<i18n=8297>
43415	<i18n=5757>	43415	11	12	1	1	1	43422			<i18n=13137>		4	7200	0	horse		0	1	runspeed_v	130	130	0																																						1	1										<i18n=8297>
