Batch	NpcType	NpcTemplateId	PosX	PosY	NpcSeriesAuto	ReqDeath	nTarget
1	0	3314	14526	36785	-1	1	1
1	0	3314	11738	34627	-1	1	1
1	0	3314	13628	38305	-1	1	1
1	0	3314	12409	38539	-1	1	1
1	0	3312	11404	37131	-1	1	1
1	0	3314	13037	33877	-1	1	1
1	0	3314	13013	36080	-1	1	1
1	0	3314	14256	34530	-1	1	1
1	0	3314	21866	50145	-1	1	2
1	0	3314	23326	51347	-1	1	2
1	0	3314	23081	49440	-1	1	2
1	0	3314	21974	48037	-1	1	2
1	0	3314	20800	51927	-1	1	2
1	0	3314	20720	48517	-1	1	2
1	0	3314	20370	50263	-1	1	2
1	0	3314	22109	52149	-1	1	2
1	0	3314	34193	31987	-1	1	3
1	0	3314	34779	36505	-1	1	3
1	0	3314	32808	32035	-1	1	3
1	0	3314	33519	36581	-1	1	3
1	0	3314	33510	34239	-1	1	3
1	0	3314	34931	34506	-1	1	3
1	0	3314	32419	35105	-1	1	3
1	0	3314	31741	33428	-1	1	3
1	0	3314	20064	26271	-1	1	4
1	0	3314	21319	24074	-1	1	4
1	0	3314	21606	21056	-1	1	4
1	0	3314	22825	22444	-1	1	4
1	0	3314	21884	26351	-1	1	4
1	0	3314	19136	24250	-1	1	4
1	0	3313	23468	25077	-1	1	4
1	0	3314	19977	22170	-1	1	4
2	0	3382	22225	38029	-1	1	5
2	0	3382	21400	37247	-1	1	5
