NpcName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType
	12180	1		65386	83877	0	0	191	-1	0	0			
	12180	1		63924	82326	0	0	191	-1	0	0			
	12180	1		62373	80398	0	0	191	-1	0	0			
	12180	1		61154	78675	0	0	191	-1	0	0			
	12180	1		61158	76207	0	0	191	-1	0	0			
	12180	1		62174	73834	0	0	191	-1	0	0			
	12180	1		64451	71191	0	0	191	-1	0	0			
	12180	1		63243	72568	0	0	191	-1	0	0			
	12180	1		66981	70481	0	0	191	-1	0	0			
	12180	1		69310	71617	0	0	191	-1	0	0			
	12180	1		71637	73776	0	0	191	-1	0	0			
	12180	1		73963	76123	0	0	191	-1	0	0			
	12180	1		75206	77959	0	0	191	-1	0	0			
	12180	1		73974	80105	0	0	191	-1	0	0			
	12180	1		71888	82775	0	0	191	-1	0	0			
	12180	1		69716	84789	0	0	191	-1	0	0			
	12180	1		67613	85805	0	0	191	-1	0	0			
	12180	1		68001	81802	0	0	191	-1	0	0			
	12180	1		65171	79225	0	0	191	-1	0	0			
	12180	1		68168	76835	0	0	191	-1	0	0			
	12180	1		70599	79141	0	0	191	-1	0	0			
