GROUP	PosX	PosY
1	94977	116774
1	89886	110774
1	99001	101655
1	93807	106388
1	103564	106475
2	43868	61755
2	40960	58834
2	48995	57817
2	51207	47163
2	54614	51407
3	57520	119585
3	61257	104363
3	56805	109531
3	58936	106863
3	63918	106456
4	29493	92916
4	41231	90840
4	28909	82581
4	31384	79606
4	34125	77187
5	102943	83149
5	93291	73398
5	95592	70452
5	97804	67723
5	107822	68724
7	41881	104886
7	46269	89715
7	43780	91975
7	41531	94545
7	48497	92121
9	65050	83343
9	62352	80270
9	61003	76229
9	66888	70146
8	72555	71821
1	101584	103771
1	96625	103585
1	91471	108618
1	92030	113605
1	103320	117260
2	37947	55765
2	47846	43431
2	39407	46883
2	52037	54681
2	46537	60275
5	95585	76269
5	100594	81080
5	98191	78741
5	105149	81001
5	107225	78651
9	69736	71685
9	72056	74347
9	74478	77324
9	62362	74036
9	64227	72112
6	70153	42167
6	67772	44758
6	66630	47234
6	68609	50100
6	70679	52236
6	72880	54648
6	75261	56837
6	77284	54813
6	78944	52904
6	79426	42320
3	66120	108560
3	68287	110819
3	64694	122216
3	66390	120165
3	68222	118146
7	50580	94503
7	52920	97116
7	55020	99706
7	52857	102580
7	50670	104905
4	36994	79877
4	39308	82552
4	41847	85077
4	43834	87748
4	38492	93393
