TemplateId	Faction	ChooseItem	Num	TimeFrame	ChangeTradeLimitByMonthCard
30136		150044	1	OpenLevel39	1
30136		151044	1	OpenLevel39	1
30136		152044	1	OpenLevel39	1
30136		153044	1	OpenLevel39	1
30136		154044	1	OpenLevel39	1
30136		155044	1	OpenLevel39	1
30136		156044	1	OpenLevel39	1
30136		157044	1	OpenLevel39	1
765			1	OpenLevel39	
30117		822	5	OpenLevel39	
30117		823	5	OpenLevel39	
30117		827	5	OpenLevel39	
30117		828	5	OpenLevel39	
30117		829	5	OpenLevel39	
30391		201015	1		
30391		202015	1		
30391		203015	1		
30391		205015	1		
30391		208015	1		
30392		201025	1		
30392		202025	1		
30392		203025	1		
30392		205025	1		
30392		208025	1		
30393		201035	1		
30393		202035	1		
30393		203035	1		
30393		205035	1		
30393		208035	1		
30394		201045	1		
30394		202045	1		
30394		203045	1		
30394		205045	1		
30394		208045	1		
30395		201055	1		
30395		202055	1		
30395		203055	1		
30395		205055	1		
30395		208055	1		
30396		201065	1		
30396		202065	1		
30396		203065	1		
30396		205065	1		
30396		208065	1		
30397		201075	1		
30397		202075	1		
30397		203075	1		
30397		205075	1		
30397		208075	1		
30398		201085	1		
30398		202085	1		
30398		203085	1		
30398		205085	1		
30398		208085	1		
30399		201095	1		
30399		202095	1		
30399		203095	1		
30399		205095	1		
30399		208095	1		
30400		201105	1		
30400		202105	1		
30400		203105	1		
30400		205105	1		
30400		208105	1		
					
