TemplateId	Name	ShowType	ItemType	Icon	BigIcon	CDType	ClassName	DetailType	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10	bForbidToBox
6204	<i18n=13038>	1704	36				ComposeMeterial	99	<i18n=15550>	120000	4	1	120000	4	50		999											
6205	<i18n=4693>	1705	36				ComposeMeterial	99	<i18n=14183>	240000	5	1	240000	4	60		999											
6206	<i18n=7040>	1706	36				ComposeMeterial	99	<i18n=12904>	360000	6	1	360000	4	70		999											
6207	<i18n=13658>	1707	36				ComposeMeterial	99	<i18n=8866>	480000	7	1	480000	4	70		999											
6208	<i18n=2709>	1708	36				ComposeMeterial	99	<i18n=5599>	720000	8	1	720000	4	70		999											
6224	<i18n=4581>	6704	36				ComposeMeterial	99	<i18n=8564>	120000	4	7	120000	4	55		999											
6225	<i18n=12663>	6705	36				ComposeMeterial	99	<i18n=6764>	240000	5	7	240000	4	65		999											
6226	<i18n=5842>	6706	36				ComposeMeterial	99	<i18n=3788>	360000	6	7	360000	4	75		999											
6227	<i18n=15870>	6707	36				ComposeMeterial	99	<i18n=16279>	480000	7	7	480000	4	75		999											
6228	<i18n=8442>	6708	36				ComposeMeterial	99	<i18n=15116>	720000	8	7	720000	4	75		999											
6244	<i18n=13276>		36	49018	49018		ComposeMeterial	99	<i18n=9120>	80000	4	7	80000	4	54		999											
6245	<i18n=6213>		36	49002	49002		ComposeMeterial	99	<i18n=6197>	160000	5	7	160000	4	64		999											
6246	<i18n=13372>		36	49026	49026		ComposeMeterial	99	<i18n=3293>	240000	6	7	240000	4	74		999											
6247	<i18n=15166>		36	49030	49030		ComposeMeterial	99	<i18n=15791>	320000	7	7	320000	4	74		999											
6248	<i18n=5798>		36	49034	49034		ComposeMeterial	99	<i18n=14581>	480000	8	7	480000	4	74		999											
6264	<i18n=16195>		36	49017	49017		ComposeMeterial	99	<i18n=501>	80000	4	7	80000	4	52		999											
6265	<i18n=8484>		36	49001	49001		ComposeMeterial	99	<i18n=14600>	160000	5	7	160000	4	62		999											
6266	<i18n=8941>		36	49025	49025		ComposeMeterial	99	<i18n=11499>	240000	6	7	240000	4	72		999											
