TemplateId	ComposeId	Name	CostCoin	NeedNum
9001	10021	<i18n=6932>	0	10
9002	10022	<i18n=3016>	0	10
9003	10023	<i18n=16237>	0	10
9004	10024	<i18n=12125>	0	10
9005	10025	<i18n=4574>	0	10
9006	10026	<i18n=240>	0	10
9007	10027	<i18n=150>	0	10
9008	10028	<i18n=75>	0	10
9009	10029	<i18n=7530>	0	10
9010	10030	<i18n=1212>	0	10
9011	11021	<i18n=9519>	0	10
9012	11022	<i18n=16247>	0	10
9013	11023	<i18n=10612>	0	10
9014	11024	<i18n=2952>	0	10
9015	11025	<i18n=2423>	0	10
9016	11026	<i18n=12126>	0	10
9017	11027	<i18n=4021>	0	10
9018	11028	<i18n=7651>	0	10
9019	11029	<i18n=5301>	0	10
9020	11030	<i18n=11720>	0	10
9021	12021	<i18n=9433>	0	10
9022	12022	<i18n=6919>	0	10
9023	12023	<i18n=14185>	0	10
9024	12024	<i18n=1566>	0	10
9025	12025	<i18n=3426>	0	10
9026	12026	<i18n=9452>	0	10
9027	12027	<i18n=11063>	0	10
9028	12028	<i18n=13015>	0	10
9029	12029	<i18n=4540>	0	10
9030	12030	<i18n=6628>	0	10
9031	13021	<i18n=139>	0	10
9032	13022	<i18n=11088>	0	10
9033	13023	<i18n=3910>	0	10
9034	13024	<i18n=1562>	0	10
9035	13025	<i18n=12669>	0	10
9036	13026	<i18n=276>	0	10
9037	13027	<i18n=5535>	0	10
9038	13028	<i18n=5069>	0	10
9039	13029	<i18n=10970>	0	10
9040	13030	<i18n=12562>	0	10
9041	14021	<i18n=12837>	0	10
9042	14022	<i18n=733>	0	10
9043	14023	<i18n=13384>	0	10
9044	14024	<i18n=13586>	0	10
9045	14025	<i18n=3096>	0	10
9046	14026	<i18n=10094>	0	10
9047	14027	<i18n=6785>	0	10
9048	14028	<i18n=9782>	0	10
9049	14029	<i18n=14387>	0	10
9050	14030	<i18n=11637>	0	10
9051	15021	<i18n=1550>	0	10
9052	15022	<i18n=6011>	0	10
9053	15023	<i18n=7487>	0	10
9054	15024	<i18n=9682>	0	10
9055	15025	<i18n=9954>	0	10
9056	15026	<i18n=12427>	0	10
9057	15027	<i18n=15980>	0	10
9058	15028	<i18n=15884>	0	10
9059	15029	<i18n=2538>	0	10
9060	15030	<i18n=7877>	0	10
9061	16021	<i18n=13716>	0	10
9062	16022	<i18n=6991>	0	10
9063	16023	<i18n=12259>	0	10
9064	16024	<i18n=822>	0	10
9065	16025	<i18n=7381>	0	10
9066	16026	<i18n=2464>	0	10
9067	16027	<i18n=2914>	0	10
9068	16028	<i18n=9730>	0	10
9069	16029	<i18n=15937>	0	10
9070	16030	<i18n=9441>	0	10
9071	17021	<i18n=6634>	0	10
9072	17022	<i18n=8826>	0	10
9073	17023	<i18n=9738>	0	10
9074	17024	<i18n=7953>	0	10
9075	17025	<i18n=11247>	0	10
9076	17026	<i18n=2403>	0	10
9077	17027	<i18n=11071>	0	10
9078	17028	<i18n=9635>	0	10
9079	17029	<i18n=13275>	0	10
9080	17030	<i18n=5413>	0	10
9081	18021	<i18n=1399>	0	10
9082	18022	<i18n=9288>	0	10
9083	18023	<i18n=16303>	0	10
9084	18024	<i18n=10485>	0	10
9085	18025	<i18n=9425>	0	10
9086	18026	<i18n=1729>	0	10
9087	18027	<i18n=9223>	0	10
9088	18028	<i18n=8639>	0	10
9089	18029	<i18n=12997>	0	10
9090	18030	<i18n=4396>	0	10
9091	19021	<i18n=8029>	0	10
9092	19022	<i18n=5123>	0	10
9093	19023	<i18n=3110>	0	10
9094	19024	<i18n=8665>	0	10
9095	19025	<i18n=7051>	0	10
9096	19026	<i18n=7542>	0	10
9097	19027	<i18n=1771>	0	10
9098	19028	<i18n=11608>	0	10
9099	19029	<i18n=16065>	0	10
9100	19030	<i18n=1597>	0	10
31018	31012	<i18n=12149>	0	10
31019	31013	<i18n=267>	0	10
31020	31014	<i18n=15708>	0	10
31021	31015	<i18n=5168>	0	10
31022	31016	<i18n=7144>	0	10
31023	31017	<i18n=6720>	0	10
650243	650244	<i18n=23504>	0	3
1183	655	<i18n=24131>	0	30
1237	31578	<i18n=26666>	0	3
1286	656	<i18n=28485>	0	30
671948	657	<i18n=37658>	0	30
671949	1437	<i18n=37730>	0	30
671950	1438	<i18n=37691>	0	30
672157	751	<i18n=39569>	0	30
672158	752	<i18n=39573>	0	30
672159	753	<i18n=39574>	0	30
672603	1501	<i18n=49846>	0	30
672604	1502	<i18n=49824>	0	30
674008	674009	<i18n=72886>	0	10
661400	4154	<i18n=74977>	0	30
661401	4155	<i18n=74986>	0	30
661402	4156	<i18n=74974>	0	30
661403	4250	<i18n=74970>	0	30
661404	4251	<i18n=74979>	0	30
661405	4252	<i18n=74985>	0	30
