ParamId	nKey1	nCount1	nKey2	nCount2	nKey3	nCount3	nKey4	nCount4	nKey5	nCount5	nKey6	nCount6	nKey7	nCount7	nKey8	nCount8	nKey9	nCount9	nKey10	nCount10
30329	785	1																		
30330	785	1																		
30331	785	1																		
30332	785	1																		
30333	785	1																		
30334	785	1																		
30335	785	1																		
30336	785	1																		
30337	785	1																		
30338	785	1																		
786	785	1																		
787	785	1																		
788	785	1																		
789	785	1																		
790	785	1																		
791	785	1																		
792	785	1																		
793	785	1																		
794	785	1																		
795	785	1																		
