TemplateId	Name	ShowType	ItemType	BagType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	Stack	ClassName	ResEffect	AttributePower	FightPower	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	QuickSearch	bForbidToBox	WaitTime
50001	<i18n=2443>		34	1	1	1	1	1	50001	50001		<i18n=1887>	5	1	1	1	30	MedicineItem		0	0	0							0		lifepotion_v	600	90	0	manapotion_v	600	90	0																																			1
50002	<i18n=9808>		34	1	1	2	40	1	50001	50001		<i18n=9479>	10	1	1	1	30	MedicineItem		0	0	0							0		lifepotion_v	1000	90	0	manapotion_v	1000	90	0																																			1
50003	<i18n=4304>		34	1	1	3	70	1	50001	50001		<i18n=15476>	20	1	1	1	30	MedicineItem		0	0	0							0		lifepotion_v	1400	90	0	manapotion_v	1400	90	0																																			1
50004	<i18n=13988>		34	1	1	4	90	1	50001	50001		<i18n=8456>	40	1	1	1	30	MedicineItem		0	0	0							0		lifepotion_v	1800	90	0	manapotion_v	1800	90	0																																			1
50005	<i18n=11599>		34	1	1	5	110	1	50001	50001		<i18n=10442>	60	1	1	1	30	MedicineItem		0	0	0							0		lifepotion_v	2200	90	0	manapotion_v	2200	90	0																																			1
50006	<i18n=41566>		34	1	1	6	130	1	50001	50001		<i18n=41568>	70	1	1	1	30	MedicineItem		0	0	0							0		lifepotion_v	2600	90	0	manapotion_v	2600	90	0																																			1
50007	<i18n=41573>		34	1	1	7	150	1	50001	50001		<i18n=41571>	80	1	1	1	30	MedicineItem		0	0	0							0		lifepotion_v	3000	90	0	manapotion_v	3000	90	0																																			1
50008	<i18n=41574>		34	1	1	8	170	1	50001	50001		<i18n=41569>	90	1	1	1	30	MedicineItem		0	0	0							0		lifepotion_v	3500	90	0	manapotion_v	3500	90	0																																			1
50009	<i18n=41572>		34	1	1	9	190	1	50001	50001		<i18n=41567>	100	1	1	1	30	MedicineItem		0	0	0							0		lifepotion_v	4000	90	0	manapotion_v	4000	90	0																																			1
50010	<i18n=67792>		34	1	1	10	210	1	50001	50001		<i18n=67802>	100	1	1	1	30	MedicineItem		0	0	0							0		lifepotion_v	4300	90	0	manapotion_v	4300	90	0																																			1
50011	<i18n=67791>		34	1	1	11	230	1	50001	50001		<i18n=67794>	100	1	1	1	30	MedicineItem		0	0	0							0		lifepotion_v	4600	90	0	manapotion_v	4600	90	0																																			1
50012	<i18n=67793>		34	1	1	12	250	1	50001	50001		<i18n=67797>	100	1	1	1	30	MedicineItem		0	0	0							0		lifepotion_v	4900	90	0	manapotion_v	4900	90	0																																			1
50013	<i18n=67790>		34	1	1	13	270	1	50001	50001		<i18n=67798>	100	1	1	1	30	MedicineItem		0	0	0							0		lifepotion_v	5200	90	0	manapotion_v	5200	90	0																																			1
50014	<i18n=67800>		34	1	1	14	290	1	50001	50001		<i18n=67799>	100	1	1	1	30	MedicineItem		0	0	0							0		lifepotion_v	5500	90	0	manapotion_v	5500	90	0																																			1
