Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut	IgnoreNoMonthCard	bZoneSystem	bCenterSystem	bServerSystem	bZoneNotify	bCenterNotify	bServerNotify	nMinNotifyLv	nMaxNotifyLv	szZCMsg	szZCTongMsg	szServerMsg	szServerTongMsg	szTongMsg	szTeamMsg
1	1	Item	99003	1	1	1000000									604800
2	1	Item	99003	1	1	1000000									
3	1	Item	99004	1	1	1000000									604800
4	1	Item	99004	1	1	1000000									
5	1	Item	99005	1	1	1000000									604800
6	1	Item	99005	1	1	1000000									
7	1	Item	99006	1	1	1000000									604800
8	1	Item	99006	1	1	1000000									
9	1	Item	3006	10	10	1000000									
10	1	Item	901	1888	1888	1000000									
11	1	Item	213	1	1	1000000									
12	1	Item	31000	100	100	1000000									
13	1	Item	35109	1	1	1000000									
