PosX	PosY
71103	83018
75270	96829
67969	90099
84137	88570
97078	112459
57301	69450
60463	104962
95106	69448
93988	110629
90439	106509
81340	93460
69436	95750
66231	79039
61424	74117
52725	65304
90096	74346
101828	62556
100168	63587
57590	107997
54785	110400
52782	113376
49635	115437
63026	101015
88608	105364
99482	116238
83515	81557
101427	88882
57876	71599
97536	52599
88265	44243
68063	112232
78593	116581
82542	113147
43397	110057
36300	101930
42367	90485
50951	81099
57189	74117
63026	50996
68692	44129
76189	38177
97991	84982
108160	94751
113942	99736
116285	102428
58563	91262
54376	87075
51435	82888
48395	83087
45315	75580
