NpcTemplateId	PosX	PosY
13057	68959	88426
13057	75677	95904
13057	83152	88504
13057	75772	81030
13056	82079	98785
13056	84305	96805
13056	90060	76889
13056	83046	83922
13056	79861	81259
13056	66506	81342
13056	69105	78831
13061	40613	50631
13060	45080	53988
13060	45917	53166
13060	49600	64379
13060	51627	66392
13060	53519	68432
13060	55886	70788
13060	59488	74554
13060	61159	76182
13056	68370	97855
13056	88149	109542
13061	109476	125637
13061	113736	127926
13056	100085	118051
13060	96649	114990
13060	93192	111640
13060	87723	106293
13057	93654	97234
13057	67624	47294
13055	57480	109569
13055	53203	80941
13060	23445	89034
13060	25477	85714
13060	29238	82216
13060	32157	79246
13060	35433	75885
13060	40738	70731
13060	44725	66775
13060	33128	100839
13060	36573	102732
13060	39209	106378
13060	42945	110477
13061	39862	127024
13056	50800	117167
13057	50111	97554
13058	73918	89141
13059	74484	88136
13058	74940	87817
13058	76077	87391
13058	76415	87761
13059	77107	88366
13059	77462	89667
13058	75239	90925
13058	76346	90939
13058	76630	90638
13058	73514	89521
13058	74183	88739
13058	75385	87450
13058	75768	87113
13058	76825	88050
13058	77780	89311
13058	77535	88901
13058	77237	89975
13058	76891	90331
13059	74730	90510
13058	73745	89881
13058	74209	89748
13058	74942	91052
13058	76105	91761
13058	76542	91333
13058	74350	90749
13058	74083	90376
13058	74583	89876
