NpcTemplateId	PosX	PosY
12422	68959	88426
12422	75677	95967
12422	82938	88504
12422	75787	80968
13056	82079	98785
13056	84305	96805
13056	90060	76889
13056	83046	83922
13056	79861	81259
13056	66506	81342
13056	69105	78831
13061	40613	50631
13060	45080	53988
13060	45917	53166
13060	49600	64379
13060	51627	66392
13060	53519	68432
13060	55886	70788
13060	59488	74554
13060	61159	76182
13056	68370	97855
13056	88149	109542
13061	109476	125637
13061	113736	127926
13056	100085	118051
13060	96649	114990
13060	93192	111640
13060	87723	106293
12422	93654	97234
12422	67624	47294
13055	57480	109569
13055	53203	80941
13060	23445	89034
13060	25477	85714
13060	29238	82216
13060	32157	79246
13060	35433	75885
13060	40738	70731
13060	44725	66775
13060	33128	100839
13060	36573	102732
13060	39209	106378
13060	42945	110477
13061	39862	127024
13056	50800	117167
12422	50111	97554
13065	67380	89109
13065	69148	86460
13065	69329	91404
13065	70640	89364
13065	73674	95988
13065	75704	98446
13065	77344	96310
13065	75896	93897
13065	81460	88658
13065	82820	90518
13065	84772	88513
13065	82974	86572
13065	76069	83056
13065	77823	80962
13065	74283	81530
13065	75812	79024
