NpcTemplateId	PosX	PosY
13163	50344	96750
13163	53757	85818
13163	52177	79435
13163	56255	73875
13163	62327	74362
13163	67651	79905
13163	70325	87716
13163	80316	86784
13163	77369	94275
13163	89253	104934
13163	95131	110274
13163	96053	120924
13163	99719	115081
13165	48888	96011
13165	51807	98360
13165	54776	88555
13165	58255	91407
13165	52123	85905
13165	47821	82493
13165	50064	83868
13165	52806	82425
13165	50279	79593
13165	51069	75418
13165	54551	78838
13165	56965	76603
13165	53973	73171
13165	55128	70666
13165	58303	67784
13165	59027	74512
13165	61459	71279
13165	61892	77467
13165	65372	80940
13165	68851	77192
13165	66996	85233
13165	72077	81215
13165	67332	91055
13165	73779	97871
13165	79118	96283
13165	83216	92317
13165	82487	84282
13165	79425	81311
13165	75953	78644
13165	81975	99180
13165	84812	96311
13165	87093	106258
13165	91000	102019
13165	91588	111219
13165	94865	106776
13165	95550	114131
13165	99855	118229
13165	99134	111459
13161	46981	97621
13161	49709	100301
13161	53204	96821
13161	51047	93300
13161	58939	92287
13161	51018	84569
13161	50619	76610
13161	53272	81351
13161	56060	77320
13161	54251	69934
13161	60767	76351
13161	60463	69971
13161	69453	78403
13161	66246	81899
13161	64200	79823
13161	73710	79845
13161	66635	88278
13161	77820	79594
13161	84497	86392
13161	75552	99853
13161	67927	93205
13161	72025	95778
13161	80452	97427
13161	83630	94611
13161	89521	108832
13161	93204	104368
13161	93428	113028
13161	97327	109062
13161	99171	119785
13161	95930	116968
13161	53944	87744
13165	85642	89182
