Index	NpcName	TitleID	NpcTemplateId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	ZPos	StandDir	ShowName	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme	HideTaskId	NpcPath	bPathRecycle	IsMapMonster	nShareType
	<i18n=9474>		7015		1	1	72808	74373	0	191	<i18n=9474>					-1						0					0	
	<i18n=13206>		20		1	1	102058	76526	0	191	<i18n=13206>					-1						0					0	
	<i18n=18541>		22		1	1	46925	101105	0	191	<i18n=18535>					-1						0					0	
	<i18n=2350>		17		0	1	104192	104368	0	191	<i18n=2350>					-1						0					0	
	<i18n=12269>		11		1	1	66199	89924	0	191	<i18n=18542>					-1						0					0	
	<i18n=6809>		13		0	1	60307	56294	0	70	<i18n=18543>					-1						0					0	
	<i18n=1614>		10		1	1	91154	78688	0	0	<i18n=18540>					-1						0					0	
	<i18n=14502>		15		0	1	92182	112548	0	130	<i18n=18546>					-1						0					0	
	<i18n=12275>		12		1	1	75373	105001	0	220	<i18n=18547>					-1						0					0	
	<i18n=12683>		14		1	1	72520	97336	0	191	<i18n=18536>					-1						0					0	
	<i18n=6826>		9255		1	1	84196	90419	0	191	<i18n=6826>					-1						0					0	
	<i18n=9275>		7201		1	1	43220	80364	0	160	<i18n=9275>					-1						0					0	
	<i18n=358>		33		0	1	56774	77007	0	191	<i18n=358>					-1						0					0	
	<i18n=6460>		12089		0	1	115014	45754	0	191	<i18n=6460>					-1						0					0	
	<i18n=8347>		12086		0	1	41593	50295	0	191	<i18n=8347>					-1						0					0	
	<i18n=10063>		12088		0	1	113466	128914	0	191	<i18n=10063>					-1						0					0	
	<i18n=5497>		12087		0	1	38980	126809	0	191	<i18n=5497>					-1						0					0	
	<i18n=2572>		12103		1	1	84814	81096	0	100	<i18n=13136>					-1						0					0	
	<i18n=4164>		11041		1	1	110058	69187	0	191	<i18n=8354>					-1						0					0	
	<i18n=21729>		7366		0	70	61765	105737	0	160						-1						0					0	1
	<i18n=4121>		7124		0	70	68991	115069	0	191						-1						0					0	1
	<i18n=6976>		7137		0	70	75229	121474	0	220						-1						0					0	1
	<i18n=6984>		7039		0	70	79015	119671	0	160						-1						0					0	1
	<i18n=3914>		7083		0	70	80338	118446	0	160						-1						0					0	1
	<i18n=21716>		7365		0	70	86308	59515	0	160						-1						0					0	1
	<i18n=24815>		37		1	1	80345	53511	0	160	<i18n=25077>					-1						0					0	1
	<i18n=28517>	195	38		1	1	95282	96470	0	160	<i18n=28214>					-1						0					0	
	<i18n=38418>	5520	12430		1	1	77852	97323	0	191	<i18n=38339>					-1						0					0	
