Type	nIndex	PosX	PosY
ShiYueDong	1	103588	86282
ShiYueDong	2	103734	112414
ShiYueDong	3	78078	115101
ShiYueDong	4	110698	94618
ShiYueDong	5	58964	40519
ShiYueDong	6	64374	49407
ShiYueDong	7	50060	52896
ShiYueDong	8	50346	46652
ShiYueDong	9	62325	91738
ShiYueDong	10	122525	100458
ShiYueDong	11	92160	94396
ShiYueDong	12	78436	46105
ShiYueDong	13	62643	35805
ShiYueDong	14	81420	105170
ShiYueDong	15	107272	54261
ShiYueDong	16	116987	49621
ShiYueDong	17	66288	29446
ShiYueDong	18	107726	38560
ShiYueDong	19	72420	45622
ShiYueDong	20	116365	77173
ShiYueDong	21	74940	60900
ShiYueDong	22	87202	57304
ShiYueDong	23	87407	45218
ShiYueDong	24	82329	72952
ShiYueDong	25	114150	108562
ShiYueDong	26	61705	63880
ShiYueDong	27	46716	69737
ShiYueDong	28	44954	85508
ShiYueDong	29	53622	76804
ShiYueDong	30	58172	90084
ShiYueDong	31	74482	98971
ShiYueDong	32	64354	75451
ShiYueDong	33	111106	77211
ShiYueDong	34	100791	94010
ShiYueDong	35	98878	65776
ShiYueDong	36	84430	71822
ShiYueDong	37	98682	50135
ShiYueDong	38	51131	90299
ShiYueDong	39	41396	82711
ShiYueDong	40	61834	110197
ShiYueDong	41	92937	76928
ShiYueDong	42	121528	85955
ShiYueDong	43	57396	52377
ShiYueDong	44	123643	63016
ShiYueDong	45	54539	103278
ShiYueDong	46	120261	44525
ShiYueDong	47	60009	44651
ShiYueDong	48	118300	68545
ShiYueDong	49	111626	59794
ShiYueDong	50	66002	128114
ShiYueDong	51	71352	121399
ShiYueDong	52	82147	122923
ShiYueDong	53	101553	38279
ShiYueDong	54	103766	41710
ShiYueDong	55	109454	59093
ShiYueDong	56	117920	44103
ShiYueDong	57	118236	64059
ShiYueDong	58	116024	69793
ShiYueDong	59	118055	82345
ShiYueDong	60	122954	93632
ShiYueDong	61	118891	102978
ShiYueDong	62	111441	108667
ShiYueDong	63	101169	115755
ShiYueDong	64	95368	107674
ShiYueDong	65	90920	108983
ShiYueDong	66	92704	105055
ShiYueDong	67	79475	123611
ShiYueDong	68	71800	125418
ShiYueDong	69	59745	125508
ShiYueDong	70	58571	110428
ShiYueDong	71	61212	93858
ShiYueDong	72	42588	85641
ShiYueDong	73	45884	72683
ShiYueDong	74	51257	72954
ShiYueDong	75	61144	67400
ShiYueDong	76	72703	62073
ShiYueDong	77	73199	40130
ShiYueDong	78	95887	50018
ShiYueDong	79	98280	69703
ShiYueDong	80	107061	97018
ShiYueDong	81	86518	105100
ShiYueDong	82	70693	99908
