NpcName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType
		1		23235	75979	0	0	191	-1	0	0			
		1		15970	65683	0	0	191	-1	0	0			
		1		15158	55024	0	0	191	-1	0	0			
		1		14617	41945	0	0	191	-1	0	0			
		1		14453	31097	0	0	191	-1	0	0			
		1		21591	19632	0	0	191	-1	0	0			
		1		35923	22217	0	0	191	-1	0	0			
		1		26930	33570	0	0	191	-1	0	0			
		1		24671	47216	0	0	191	-1	0	0			
		1		27745	60162	0	0	191	-1	0	0			
		1		41955	36170	0	0	191	-1	0	0			
		1		50294	22948	0	0	191	-1	0	0			
		1		61259	20062	0	0	191	-1	0	0			
		1		54332	36012	0	0	191	-1	0	0			
		1		74169	17682	0	0	191	-1	0	0			
		1		81779	26343	0	0	191	-1	0	0			
		1		69406	31788	0	0	191	-1	0	0			
		1		80603	37088	0	0	191	-1	0	0			
		1		72420	45622	0	0	191	-1	0	0			
		1		60874	45822	0	0	191	-1	0	0			
		1		70362	59176	0	0	191	-1	0	0			
		1		86577	49638	0	0	191	-1	0	0			
		1		80804	62690	0	0	191	-1	0	0			
		1		54770	57301	0	0	191	-1	0	0			
		1		48296	47400	0	0	191	-1	0	0			
		1		61797	70228	0	0	191	-1	0	0			
		1		50242	70809	0	0	191	-1	0	0			
		1		44432	82598	0	0	191	-1	0	0			
		1		35059	71676	0	0	191	-1	0	0			
		1		56332	80968	0	0	191	-1	0	0			
		1		68558	81538	0	0	191	-1	0	0			
		1		64768	70943	0	0	191	-1	0	0			
		1		72476	72660	0	0	191	-1	0	0			
		1		76234	72051	0	0	191	-1	0	0			
		1		84309	63722	0	0	191	-1	0	0			
		1		66788	56815	0	0	191	-1	0	0			
		1		89133	51737	0	0	191	-1	0	0			
		1		38291	73143	0	0	191	-1	0	0			
		1		25873	74349	0	0	191	-1	0	0			
		1		23209	62284	0	0	191	-1	0	0			
		1		26979	53536	0	0	191	-1	0	0			
		1		17930	43180	0	0	191	-1	0	0			
		1		35500	47164	0	0	191	-1	0	0			
		1		39329	47432	0	0	191	-1	0	0			
		1		30468	30381	0	0	191	-1	0	0			
		1		40247	23342	0	0	191	-1	0	0			
		1		59217	57363	0	0	191	-1	0	0			
		1		66242	28233	0	0	191	-1	0	0			
		1		78440	22445	0	0	191	-1	0	0			
		1		18045	68849	0	0	191	-1	0	0			
