Type	PosX	PosY
Monster	66474	129870
Monster	65225	130030
Monster	65017	127788
Monster	66874	127404
Monster	66025	128813
Monster	71274	122694
Monster	72590	122402
Monster	71566	120318
Monster	69903	121854
Monster	71054	124229
Monster	80417	123660
Monster	80744	126101
Monster	78412	125491
Monster	79240	121350
Monster	81768	121873
Monster	78375	113909
Monster	80049	114590
Monster	79283	111184
Monster	76956	112036
Monster	77921	116293
Monster	84519	105573
Monster	84981	107627
Monster	86110	105111
Monster	84108	102954
Monster	82798	105368
Monster	92510	107467
Monster	94011	109549
Monster	94592	105936
Monster	91990	105446
Monster	90367	109671
Monster	104236	111704
Monster	102904	113968
Monster	106101	112570
Monster	104503	108773
Monster	102538	110172
Monster	114200	107233
Monster	114924	109768
Monster	116554	107088
Monster	114562	104553
Monster	112425	107450
Monster	123001	99410
Monster	121335	102670
Monster	125536	99700
Monster	123146	95354
Monster	121081	98106
Monster	116670	77088
Monster	117042	80395
Monster	118820	76344
Monster	116299	73121
Monster	114108	77006
Monster	123527	64631
Monster	125516	66346
Monster	124697	61745
Monster	121188	62603
Monster	122825	68062
Monster	110075	57612
Monster	112102	58781
Monster	109958	53556
Monster	107189	56052
Monster	108515	60575
Monster	121201	44428
Monster	123019	46285
Monster	122903	42030
Monster	119074	43732
Monster	119654	47909
Monster	106426	37621
Monster	109211	39323
Monster	106619	34372
Monster	103834	38704
Monster	106619	41179
Monster	99044	49869
Monster	100607	51547
Monster	100455	46971
Monster	96794	48191
Monster	97252	51852
Monster	98836	66310
Monster	99468	68760
Monster	100773	64175
Monster	97294	63859
Monster	96583	68049
Monster	93355	77149
Monster	95113	78153
Monster	92224	80226
Monster	92005	75327
Monster	93606	75327
Monster	84500	71999
Monster	85787	73757
Monster	86258	70680
Monster	83966	69487
Monster	82648	72753
Monster	87462	58544
Monster	89018	58933
Monster	86943	55626
Monster	85743	58868
Monster	87494	60943
Monster	74576	43809
Monster	76016	45587
Monster	74085	46445
Monster	72737	43564
Monster	74423	40805
Monster	62403	34041
Monster	62577	36127
Monster	60867	34736
Monster	63359	32128
Monster	64837	33867
Monster	58665	41517
Monster	59766	44240
Monster	57883	43661
Monster	57216	41748
Monster	59013	39256
Monster	63216	49470
Monster	61959	50661
Monster	64935	50330
Monster	63447	47156
Monster	61562	48082
Monster	50011	49591
Monster	51165	51239
Monster	50918	47201
Monster	48734	48766
Monster	48363	51981
Monster	61922	64320
Monster	62695	65994
Monster	60891	67218
Monster	60215	63611
Monster	62727	61936
Monster	47075	68571
Monster	47719	70632
Monster	46076	71405
Monster	45175	67927
Monster	47204	66832
Monster	52775	75270
Monster	53838	77395
Monster	54192	74883
Monster	51584	73209
Monster	51551	76172
Monster	44724	84932
Monster	44273	86606
Monster	45915	84738
Monster	44369	82291
Monster	43113	84674
Monster	67465	73996
Monster	68099	75105
Monster	66383	75950
Monster	65802	73415
Monster	67228	71620
Monster	62816	91923
Monster	63583	93309
Monster	61875	94646
Monster	61132	91328
Monster	63558	90140
Monster	54792	89331
Monster	54202	91280
Monster	56121	90158
Monster	54645	87737
Monster	53050	89509
Monster	56241	100936
Monster	55467	102765
Monster	54881	100185
Monster	56616	99013
Monster	57953	100842
Monster	74684	99317
Monster	75363	100675
Monster	73860	101354
Monster	72962	98541
Monster	75363	96940
Monster	88483	90809
Monster	88969	91820
Monster	89650	90264
Monster	88172	89059
Monster	87102	91237
Monster	92392	94465
Monster	92489	96371
Monster	93851	94854
Monster	93073	92948
Monster	91148	94310
Monster	102940	92379
Monster	104199	93110
Monster	102087	94207
Monster	102635	90429
Monster	103772	90672
Monster	111408	95249
Monster	112724	96160
Monster	112471	93021
Monster	110244	93528
Monster	110269	96970
Monster	74779	61224
Monster	76009	62423
Monster	77144	59521
Monster	74905	58196
Monster	72823	61855
Monster	62119	110595
Monster	62966	112148
Monster	62778	109277
Monster	60824	109559
Monster	61177	113137
Monster	122508	86329
Monster	124326	87455
Monster	123583	83871
Monster	120998	85100
Monster	121279	89042
