nTowerLevel	nNpcTemplateId	PosX	PosY	Delay	szParams
5	13036	20729	16062	30	
6	13051	19409	17490	1	
6	13052	22158	17490	1	
6	13053	19276	14077	1	
6	13054	22097	13882	1	
7	13051	19409	17490	1	
7	13052	22158	17490	1	
7	13053	19276	14077	1	
7	13054	22097	13882	1	
8	13051	19409	17490	1	
8	13052	22158	17490	1	
8	13053	19276	14077	1	
8	13054	22097	13882	1	
9	13051	19409	17490	1	
9	13052	22158	17490	1	
9	13053	19276	14077	1	
9	13054	22097	13882	1	
10	13046	20729	16062	30	
10	13051	19409	17490	1	
10	13052	22158	17490	1	
10	13053	19276	14077	1	
10	13054	22097	13882	1	
15	13037	20729	16062	30	
20	13047	20729	16062	30	
25	13048	20729	16062	30	
