PosX	PosY
17910	20996
18770	20997
19534	21023
20393	20970
21414	20862
22053	21132
22811	21105
23677	21105
17274	19967
18360	19995
19399	20022
20348	19941
20983	20130
21687	20103
22418	20211
23366	20157
24111	20157
16800	18966
17832	19047
18896	19155
19863	19074
20631	19074
21358	19074
22105	19100
22865	19128
23786	19074
24666	18966
17246	18316
16366	18289
18438	18180
19521	18262
20320	18262
21024	18153
21782	18180
22540	18262
23556	18126
24557	18045
25410	17937
15852	16935
16759	17070
17869	17206
19007	16962
19968	17314
20915	16989
21944	16989
22730	17178
23799	17043
24557	17016
25464	16854
15392	15933
16448	15852
17301	15770
18330	15852
19453	15770
20509	16258
21403	15879
22418	15716
23298	15689
23000	17937
24205	15987
25058	15797
25925	16150
26047	17097
15852	15066
17111	14850
17869	15093
18803	14877
19927	14931
20753	15012
21701	14931
22757	14958
23176	14904
23921	14850
24706	15039
25519	14958
26128	15148
26561	15797
16028	14119
16502	14931
16827	13875
17571	14065
18262	14498
18749	13388
19359	14308
18736	14146
20035	13767
19887	16285
23204	16529
20509	14308
21186	14254
21660	13767
22432	14362
22973	13415
23380	14200
24073	13631
24625	14335
25302	13794
24638	13227
25965	14173
17084	12981
17937	13252
17626	12250
18275	12386
19142	12386
19440	13036
19859	12521
20347	13144
20929	13171
21660	12738
20672	12467
22296	13361
22648	12548
23542	12521
23528	13415
24192	12575
25018	12521
17552	11350
18313	11435
18863	11378
19497	11435
18045	10843
18693	10758
19285	10730
19891	10815
20272	11745
20539	10843
20863	11632
21173	12421
21399	11576
21103	10843
21864	10815
21948	11942
22442	11407
22625	10730
23132	11745
23372	10843
23794	11829
24090	11068
24513	11914
16538	13182
16974	11970
