nGroup	nLevel	szAttrType	nAttrVal1	nAttrVal2	nAttrVal3	nFightPower
1	1	lifemax_v	270	0	0	270
1	2	lifemax_v	540	0	0	540
1	3	lifemax_v	810	0	0	810
1	4	lifemax_v	1080	0	0	1080
1	5	lifemax_v	1350	0	0	1350
1	6	lifemax_v	1620	0	0	1620
1	7	lifemax_v	1890	0	0	1890
1	8	lifemax_v	2160	0	0	2160
1	9	lifemax_v	2430	0	0	2430
1	10	lifemax_v	2700	0	0	2700
1	11	lifemax_v	2808	0	0	2810
1	12	lifemax_v	2916	0	0	2920
1	13	lifemax_v	3024	0	0	3020
1	14	lifemax_v	3132	0	0	3130
1	15	lifemax_v	3240	0	0	3240
1	16	lifemax_v	3348	0	0	3350
1	17	lifemax_v	3456	0	0	3460
1	18	lifemax_v	3564	0	0	3560
1	19	lifemax_v	3672	0	0	3670
1	20	lifemax_v	3780	0	0	3780
1	21	lifemax_v	3931	0	0	3930
1	22	lifemax_v	4082	0	0	4080
1	23	lifemax_v	4234	0	0	4230
1	24	lifemax_v	4385	0	0	4380
1	25	lifemax_v	4536	0	0	4540
1	26	lifemax_v	4687	0	0	4690
1	27	lifemax_v	4838	0	0	4840
1	28	lifemax_v	4990	0	0	4990
1	29	lifemax_v	5141	0	0	5140
1	30	lifemax_v	5292	0	0	5290
1	31	lifemax_v	5503	0	0	5500
1	32	lifemax_v	5713	0	0	5710
1	33	lifemax_v	5924	0	0	5920
1	34	lifemax_v	6134	0	0	6130
1	35	lifemax_v	6345	0	0	6350
1	36	lifemax_v	6556	0	0	6560
1	37	lifemax_v	6766	0	0	6770
1	38	lifemax_v	6977	0	0	6980
1	39	lifemax_v	7187	0	0	7190
1	40	lifemax_v	7398	0	0	7400
1	41	lifemax_v	7695	0	0	7700
1	42	lifemax_v	7992	0	0	7990
1	43	lifemax_v	8289	0	0	8290
1	44	lifemax_v	8586	0	0	8590
1	45	lifemax_v	8883	0	0	8880
1	46	lifemax_v	9180	0	0	9180
1	47	lifemax_v	9477	0	0	9480
1	48	lifemax_v	9774	0	0	9770
1	49	lifemax_v	10071	0	0	10070
1	50	lifemax_v	10368	0	0	10370
1	51	lifemax_v	10784	0	0	10780
1	52	lifemax_v	11200	0	0	11200
1	53	lifemax_v	11615	0	0	11620
1	54	lifemax_v	12031	0	0	12030
1	55	lifemax_v	12447	0	0	12450
1	56	lifemax_v	12863	0	0	12860
1	57	lifemax_v	13279	0	0	13280
1	58	lifemax_v	13694	0	0	13690
1	59	lifemax_v	14110	0	0	14110
1	60	lifemax_v	14526	0	0	14530
1	61	lifemax_v	15034	0	0	15030
1	62	lifemax_v	15541	0	0	15540
1	63	lifemax_v	16049	0	0	16050
1	64	lifemax_v	16556	0	0	16560
1	65	lifemax_v	17064	0	0	17060
1	66	lifemax_v	17572	0	0	17570
1	67	lifemax_v	18079	0	0	18080
1	68	lifemax_v	18587	0	0	18590
1	69	lifemax_v	19094	0	0	19090
1	70	lifemax_v	19602	0	0	19600
1	71	lifemax_v	20191	0	0	20190
1	72	lifemax_v	20779	0	0	20780
1	73	lifemax_v	21368	0	0	21370
1	74	lifemax_v	21956	0	0	21960
1	75	lifemax_v	22545	0	0	22550
1	76	lifemax_v	23134	0	0	23130
1	77	lifemax_v	23722	0	0	23720
1	78	lifemax_v	24311	0	0	24310
1	79	lifemax_v	24899	0	0	24900
1	80	lifemax_v	25488	0	0	25490
1	81	lifemax_v	26125	0	0	26130
1	82	lifemax_v	26762	0	0	26760
1	83	lifemax_v	27400	0	0	27400
1	84	lifemax_v	28037	0	0	28040
1	85	lifemax_v	28674	0	0	28670
1	86	lifemax_v	29311	0	0	29310
1	87	lifemax_v	29948	0	0	29950
1	88	lifemax_v	30586	0	0	30590
1	89	lifemax_v	31223	0	0	31220
1	90	lifemax_v	31860	0	0	31860
1	91	lifemax_v	32497	0	0	32500
1	92	lifemax_v	33134	0	0	33130
