nLevel	nLevelUpCostId	nLevelUpCostCount
1	3022	60
2	3022	60
3	3022	60
4	3022	60
5	3022	60
6	3022	60
7	3022	60
8	3022	60
9	3022	60
10	3022	60
11	3022	60
12	3022	60
13	3022	60
14	3022	60
15	3022	60
16	3022	60
17	3022	60
18	3022	60
19	3022	60
20	3022	60
21	3022	60
22	3022	60
23	3022	60
24	3022	60
25	3022	60
26	3022	60
27	3022	60
28	3022	60
29	3022	60
30	3022	60
31	3022	80
32	3022	80
33	3022	80
34	3022	80
35	3022	80
36	3022	80
37	3022	80
38	3022	80
39	3022	80
40	3022	80
41	3022	80
42	3022	80
43	3022	80
44	3022	80
45	3022	80
46	3022	80
47	3022	80
48	3022	80
49	3022	80
50	3022	80
51	3022	80
52	3022	80
53	3022	80
54	3022	80
55	3022	80
56	3022	80
57	3022	80
58	3022	80
59	3022	80
60	3022	80
61	3022	80
62	3022	80
63	3022	80
64	3022	80
65	3022	80
66	3022	80
67	3022	80
68	3022	80
69	3022	80
70	3022	80
71	3022	100
72	3022	100
73	3022	100
74	3022	100
75	3022	100
76	3022	100
77	3022	100
78	3022	100
79	3022	100
80	3022	100
81	3022	100
82	3022	100
83	3022	100
84	3022	100
85	3022	100
86	3022	100
87	3022	100
88	3022	100
89	3022	100
90	3022	100
91	3022	100
92	3022	100
93	3022	100
94	3022	100
95	3022	100
96	3022	100
97	3022	100
98	3022	100
99	3022	100
100	3022	100
101	3022	100
102	3022	100
103	3022	100
104	3022	100
105	3022	100
106	3022	100
107	3022	100
108	3022	100
109	3022	100
110	3022	100
111	3022	100
112	3022	100
113	3022	100
114	3022	100
115	3022	100
116	3022	100
117	3022	100
118	3022	100
119	3022	100
120	3022	100
121	3022	100
122	3022	100
123	3022	100
124	3022	100
125	3022	100
126	3022	100
127	3022	100
128	3022	100
129	3022	100
130	3022	100
131	3022	120
132	3022	120
133	3022	120
134	3022	120
135	3022	120
136	3022	120
137	3022	120
138	3022	120
139	3022	120
140	3022	120
141	3022	120
142	3022	120
143	3022	120
144	3022	120
145	3022	120
146	3022	120
147	3022	120
148	3022	120
149	3022	120
150	3022	120
151	3022	120
152	3022	120
153	3022	120
154	3022	120
155	3022	120
156	3022	120
157	3022	120
158	3022	120
159	3022	120
160	3022	120
161	3022	120
162	3022	120
163	3022	120
164	3022	120
165	3022	120
166	3022	120
167	3022	120
168	3022	120
169	3022	120
170	3022	120
171	3022	120
172	3022	120
173	3022	120
174	3022	120
175	3022	120
176	3022	120
177	3022	120
178	3022	120
179	3022	120
180	3022	120
181	3022	120
182	3022	120
183	3022	120
184	3022	120
185	3022	120
186	3022	120
187	3022	120
188	3022	120
189	3022	120
190	3022	120
191	3022	120
192	3022	120
193	3022	120
194	3022	120
195	3022	120
196	3022	120
197	3022	120
198	3022	120
199	3022	120
200	3022	120
201	3022	120
202	3022	120
203	3022	120
204	3022	120
205	3022	120
206	3022	120
207	3022	120
208	3022	120
209	3022	120
210	3022	120
211	3022	120
212	3022	120
213	3022	120
214	3022	120
215	3022	120
216	3022	120
217	3022	120
218	3022	120
219	3022	120
220	3022	120
221	3022	120
222	3022	120
223	3022	120
224	3022	120
225	3022	120
226	3022	120
227	3022	120
228	3022	120
229	3022	120
230	3022	120
231	3022	120
232	3022	120
233	3022	120
234	3022	120
235	3022	120
236	3022	120
237	3022	120
238	3022	120
239	3022	120
240	3022	120
241	3022	120
242	3022	120
243	3022	120
244	3022	120
245	3022	120
246	3022	120
247	3022	120
248	3022	120
249	3022	120
250	3022	120
251	3022	120
252	3022	120
253	3022	120
254	3022	120
255	3022	120
256	3022	120
257	3022	120
258	3022	120
259	3022	120
260	3022	120
261	3022	120
262	3022	120
263	3022	120
264	3022	120
265	3022	120
266	3022	120
267	3022	120
268	3022	120
269	3022	120
270	3022	120
