nGroup	nLevel	szAttrType	nAttrVal1	nAttrVal2	nAttrVal3	nFightPower
1	1	allsect_metaldamage_v	20	0	0	600
1	2	allsect_metaldamage_v	40	0	0	1200
1	3	allsect_metaldamage_v	60	0	0	1800
1	4	allsect_metaldamage_v	80	0	0	2400
1	5	allsect_metaldamage_v	100	0	0	3000
1	6	allsect_metaldamage_v	120	0	0	3600
1	7	allsect_metaldamage_v	140	0	0	4200
1	8	allsect_metaldamage_v	160	0	0	4800
1	9	allsect_metaldamage_v	180	0	0	5400
1	10	allsect_metaldamage_v	200	0	0	6000
1	11	allsect_metaldamage_v	220	0	0	6600
1	12	allsect_metaldamage_v	240	0	0	7200
1	13	allsect_metaldamage_v	260	0	0	7800
1	14	allsect_metaldamage_v	280	0	0	8400
1	15	allsect_metaldamage_v	300	0	0	9000
1	16	allsect_metaldamage_v	320	0	0	9600
1	17	allsect_metaldamage_v	340	0	0	10200
1	18	allsect_metaldamage_v	360	0	0	10800
1	19	allsect_metaldamage_v	380	0	0	11400
1	20	allsect_metaldamage_v	400	0	0	12000
1	21	allsect_metaldamage_v	420	0	0	12600
1	22	allsect_metaldamage_v	440	0	0	13200
1	23	allsect_metaldamage_v	460	0	0	13800
1	24	allsect_metaldamage_v	480	0	0	14400
1	25	allsect_metaldamage_v	500	0	0	15000
1	26	allsect_metaldamage_v	520	0	0	15600
1	27	allsect_metaldamage_v	540	0	0	16200
1	28	allsect_metaldamage_v	560	0	0	16800
1	29	allsect_metaldamage_v	580	0	0	17400
1	30	allsect_metaldamage_v	600	0	0	18000
1	31	allsect_metaldamage_v	619	0	0	18800
1	32	allsect_metaldamage_v	638	0	0	19600
1	33	allsect_metaldamage_v	657	0	0	20400
1	34	allsect_metaldamage_v	676	0	0	21200
1	35	allsect_metaldamage_v	695	0	0	22000
1	36	allsect_metaldamage_v	714	0	0	22800
1	37	allsect_metaldamage_v	733	0	0	23600
1	38	allsect_metaldamage_v	752	0	0	24400
1	39	allsect_metaldamage_v	771	0	0	25200
1	40	allsect_metaldamage_v	790	0	0	26000
1	41	allsect_metaldamage_v	809	0	0	26800
1	42	allsect_metaldamage_v	828	0	0	27600
1	43	allsect_metaldamage_v	847	0	0	28400
1	44	allsect_metaldamage_v	866	0	0	29200
1	45	allsect_metaldamage_v	885	0	0	30000
1	46	allsect_metaldamage_v	904	0	0	30800
1	47	allsect_metaldamage_v	923	0	0	31600
1	48	allsect_metaldamage_v	942	0	0	32400
1	49	allsect_metaldamage_v	961	0	0	33200
1	50	allsect_metaldamage_v	980	0	0	34000
1	51	allsect_metaldamage_v	999	0	0	34800
1	52	allsect_metaldamage_v	1018	0	0	35600
1	53	allsect_metaldamage_v	1037	0	0	36400
1	54	allsect_metaldamage_v	1056	0	0	37200
1	55	allsect_metaldamage_v	1075	0	0	38000
1	56	allsect_metaldamage_v	1094	0	0	38800
1	57	allsect_metaldamage_v	1113	0	0	39600
1	58	allsect_metaldamage_v	1132	0	0	40400
1	59	allsect_metaldamage_v	1151	0	0	41200
1	60	allsect_metaldamage_v	1170	0	0	42000
1	61	allsect_metaldamage_v	1189	0	0	42800
1	62	allsect_metaldamage_v	1208	0	0	43600
1	63	allsect_metaldamage_v	1227	0	0	44400
1	64	allsect_metaldamage_v	1246	0	0	45200
1	65	allsect_metaldamage_v	1265	0	0	46000
1	66	allsect_metaldamage_v	1284	0	0	46800
1	67	allsect_metaldamage_v	1303	0	0	47600
1	68	allsect_metaldamage_v	1322	0	0	48400
1	69	allsect_metaldamage_v	1341	0	0	49200
1	70	allsect_metaldamage_v	1360	0	0	50000
1	71	allsect_metaldamage_v	1378	0	0	51000
1	72	allsect_metaldamage_v	1396	0	0	52000
1	73	allsect_metaldamage_v	1414	0	0	53000
1	74	allsect_metaldamage_v	1432	0	0	54000
1	75	allsect_metaldamage_v	1450	0	0	55000
1	76	allsect_metaldamage_v	1468	0	0	56000
1	77	allsect_metaldamage_v	1486	0	0	57000
1	78	allsect_metaldamage_v	1504	0	0	58000
1	79	allsect_metaldamage_v	1522	0	0	59000
1	80	allsect_metaldamage_v	1540	0	0	60000
1	81	allsect_metaldamage_v	1558	0	0	61000
1	82	allsect_metaldamage_v	1576	0	0	62000
1	83	allsect_metaldamage_v	1594	0	0	63000
1	84	allsect_metaldamage_v	1612	0	0	64000
1	85	allsect_metaldamage_v	1630	0	0	65000
1	86	allsect_metaldamage_v	1648	0	0	66000
1	87	allsect_metaldamage_v	1666	0	0	67000
1	88	allsect_metaldamage_v	1684	0	0	68000
1	89	allsect_metaldamage_v	1702	0	0	69000
1	90	allsect_metaldamage_v	1720	0	0	70000
1	91	allsect_metaldamage_v	1738	0	0	71000
1	92	allsect_metaldamage_v	1756	0	0	72000
1	93	allsect_metaldamage_v	1774	0	0	73000
1	94	allsect_metaldamage_v	1792	0	0	74000
1	95	allsect_metaldamage_v	1810	0	0	75000
1	96	allsect_metaldamage_v	1828	0	0	76000
1	97	allsect_metaldamage_v	1846	0	0	77000
1	98	allsect_metaldamage_v	1864	0	0	78000
1	99	allsect_metaldamage_v	1882	0	0	79000
1	100	allsect_metaldamage_v	1900	0	0	80000
1	101	allsect_metaldamage_v	1917	0	0	81200
1	102	allsect_metaldamage_v	1934	0	0	82400
1	103	allsect_metaldamage_v	1951	0	0	83600
1	104	allsect_metaldamage_v	1968	0	0	84800
1	105	allsect_metaldamage_v	1985	0	0	86000
1	106	allsect_metaldamage_v	2002	0	0	87200
1	107	allsect_metaldamage_v	2019	0	0	88400
1	108	allsect_metaldamage_v	2036	0	0	89600
1	109	allsect_metaldamage_v	2053	0	0	90800
1	110	allsect_metaldamage_v	2070	0	0	92000
1	111	allsect_metaldamage_v	2087	0	0	93200
1	112	allsect_metaldamage_v	2104	0	0	94400
1	113	allsect_metaldamage_v	2121	0	0	95600
1	114	allsect_metaldamage_v	2138	0	0	96800
1	115	allsect_metaldamage_v	2155	0	0	98000
1	116	allsect_metaldamage_v	2172	0	0	99200
1	117	allsect_metaldamage_v	2189	0	0	100400
1	118	allsect_metaldamage_v	2206	0	0	101600
1	119	allsect_metaldamage_v	2223	0	0	102800
1	120	allsect_metaldamage_v	2240	0	0	104000
1	121	allsect_metaldamage_v	2257	0	0	105200
1	122	allsect_metaldamage_v	2274	0	0	106400
1	123	allsect_metaldamage_v	2291	0	0	107600
1	124	allsect_metaldamage_v	2308	0	0	108800
1	125	allsect_metaldamage_v	2325	0	0	110000
1	126	allsect_metaldamage_v	2342	0	0	111200
1	127	allsect_metaldamage_v	2359	0	0	112400
1	128	allsect_metaldamage_v	2376	0	0	113600
1	129	allsect_metaldamage_v	2393	0	0	114800
1	130	allsect_metaldamage_v	2410	0	0	116000
1	131	allsect_metaldamage_v	2426	0	0	117200
1	132	allsect_metaldamage_v	2442	0	0	118400
1	133	allsect_metaldamage_v	2458	0	0	119600
1	134	allsect_metaldamage_v	2474	0	0	120800
1	135	allsect_metaldamage_v	2490	0	0	122000
