nBatch	szType	NpcTemplateId	PosX	PosY	nCamp
1	nanyijisi	13015	22098	17362	2
1	nanyijisi	13015	19666	14696	2
1	nanyijisi	13015	19661	17385	2
1	nanyijisi	13015	20781	18218	2
1	nanyijisi	13015	19188	16061	2
1	nanyijisi	13015	22294	16132	2
1	nanyijisi	13015	20607	13638	2
1	nanyijisi	13015	20540	15402	2
1	nanyijisi	13015	21731	14559	2
1	nanyijisi	13015	21122	16760	2
2	nanyijisi	13015	22098	17362	2
2	nanyijisi	13015	19666	14696	2
2	nanyijisi	13015	19661	17385	2
2	nanyijisi	13015	20781	18218	2
2	nanyijisi	13015	19188	16061	2
2	nanyijisi	13015	22294	16132	2
2	nanyijisi	13015	20607	13638	2
2	nanyijisi	13015	20540	15402	2
2	nanyijisi	13015	21731	14559	2
2	nanyijisi	13015	21122	16760	2
3	nanyijisi	13015	22098	17362	2
3	nanyijisi	13015	19666	14696	2
3	nanyijisi	13015	19661	17385	2
3	nanyijisi	13015	20781	18218	2
3	nanyijisi	13015	19188	16061	2
3	nanyijisi	13015	22294	16132	2
3	nanyijisi	13015	20607	13638	2
3	nanyijisi	13015	20540	15402	2
3	nanyijisi	13015	21731	14559	2
3	nanyijisi	13015	21122	16760	2
4	nanyiyongshi	13018	22098	17362	2
4	nanyiyongshi	13018	19666	14696	2
4	nanyiyongshi	13018	19661	17385	2
4	nanyiyongshi	13018	20781	18218	2
4	nanyiyongshi	13018	19188	16061	2
4	nanyiyongshi	13018	22294	16132	2
4	nanyiyongshi	13018	20607	13638	2
4	nanyiyongshi	13018	20540	15402	2
4	nanyiyongshi	13018	21731	14559	2
4	nanyiyongshi	13018	21122	16760	2
5	nanyiyongshi	13018	22098	17362	2
5	nanyiyongshi	13018	19666	14696	2
5	nanyiyongshi	13018	19661	17385	2
5	nanyiyongshi	13018	20781	18218	2
5	nanyiyongshi	13018	19188	16061	2
5	nanyiyongshi	13018	22294	16132	2
5	nanyiyongshi	13018	20607	13638	2
5	nanyiyongshi	13018	20540	15402	2
5	nanyiyongshi	13018	21731	14559	2
5	nanyiyongshi	13018	21122	16760	2
6	nanyiyongshi	13018	22098	17362	2
6	nanyiyongshi	13018	19666	14696	2
6	nanyiyongshi	13018	19661	17385	2
6	nanyiyongshi	13018	20781	18218	2
6	nanyiyongshi	13018	19188	16061	2
6	nanyiyongshi	13018	22294	16132	2
6	nanyiyongshi	13018	20607	13638	2
6	nanyiyongshi	13018	20540	15402	2
6	nanyiyongshi	13018	21731	14559	2
6	nanyiyongshi	13018	21122	16760	2
7	tuzhuwunv	13021	22098	17362	2
7	tuzhuwunv	13021	19666	14696	2
7	tuzhuwunv	13021	19661	17385	2
7	tuzhuwunv	13021	20781	18218	2
7	tuzhuwunv	13021	19188	16061	2
7	tuzhuwunv	13021	22294	16132	2
7	tuzhuwunv	13021	20607	13638	2
7	tuzhuwunv	13021	20540	15402	2
7	tuzhuwunv	13021	21731	14559	2
7	tuzhuwunv	13021	21122	16760	2
8	tuzhuwunv	13021	22098	17362	2
8	tuzhuwunv	13021	19666	14696	2
8	tuzhuwunv	13021	19661	17385	2
