nBatch	szType	NpcTemplateId	PosX	PosY	nCamp
1	nanyijisi	13015	17667	11159	2
1	nanyijisi	13015	17263	11736	2
1	nanyijisi	13015	16917	12429	2
1	nanyijisi	13015	16541	13064	2
1	nanyijisi	13015	16137	13727	2
1	nanyijisi	13015	15805	14593	2
1	nanyijisi	13015	15575	15373	2
1	nanyijisi	13001	15576	16247	2
1	nanyijisi	13015	15952	17088	2
1	nanyijisi	13015	16285	17580	2
1	nanyiyongshi	13018	16537	18127	2
1	nanyiyongshi	13018	16866	18741	2
1	nanyiyongshi	13018	17183	19354	2
1	nanyiyongshi	13018	17610	20054	2
1	nanyiyongshi	13018	17960	20733	2
1	nanyiyongshi	13018	18387	21302	2
1	nanyiyongshi	13018	19022	21478	2
1	nanyiyongshi	13004	19581	21543	2
1	nanyiyongshi	13018	20172	21456	2
1	nanyiyongshi	13018	20719	21368	2
1	nanyiyongshi	13018	21278	21499	2
1	nanyiyongshi	13018	21847	21434	2
1	nanyiyongshi	13018	22405	21434	2
1	nanyiyongshi	13018	22909	21368	2
1	nanyiyongshi	13018	23412	20886	2
1	tuzhuwunv	13021	23741	20536	2
1	tuzhuwunv	13021	24091	20054	2
1	tuzhuwunv	13021	24376	19616	2
1	tuzhuwunv	13021	24628	19025	2
1	tuzhuwunv	13021	24814	18368	2
1	tuzhuwunv	13021	25142	17930	2
1	tuzhuwunv	13021	25482	17471	2
1	tuzhuwunv	13007	25777	17055	2
1	tuzhuwunv	13021	26051	16529	2
1	tuzhuwunv	13021	26379	16179	2
1	tuzhuwunv	13021	26500	15588	2
1	tuzhuwunv	13021	26149	15040	2
1	tuzhuwunv	13021	25865	14515	2
1	tuzhuwunv	13021	25525	13989	2
1	tuzhuwunv	13021	25208	13398	2
1	miaolingshoujun	13033	24890	12785	2
1	miaolingshoujun	13033	24606	12347	2
1	miaolingshoujun	13033	24310	11843	2
1	miaolingshoujun	13033	23993	11318	2
1	miaolingshoujun	13033	23642	10880	2
1	miaolingshoujun	13033	23073	10946	2
1	miaolingshoujun	13033	22449	11121	2
1	miaolingshoujun	13010	21847	11055	2
1	miaolingshoujun	13033	21190	11077	2
1	miaolingshoujun	13033	20599	11099	2
1	miaolingshoujun	13033	19931	11121	2
1	miaolingshoujun	13033	19362	11164	2
1	miaolingshoujun	13033	18942	11077	2
1	miaolingshoujun	13033	18519	11077	2
1	miaolingshoujun	13033	18059	11143	2
100	Interact	12500	15576	16247	0
100	Interact	12500	19581	21543	0
100	Interact	12500	25777	17055	0
100	Interact	12500	21847	11055	0
