nBatch	szType	NpcTemplateId	PosX	PosY	nCamp
1	milu	13000	17667	11159	2
1	milu	13000	17263	11736	2
1	milu	13000	16917	12429	2
1	milu	13000	16541	13064	2
1	milu	13000	16137	13727	2
1	milu	13000	15805	14593	2
1	milu	13000	15575	15373	2
1	milu	13000	15576	16247	2
1	milu	13000	15952	17088	2
1	milu	13000	16285	17580	2
1	milu	13000	16537	18127	2
1	milu	13000	16866	18741	2
1	milu	13000	17183	19354	2
1	milu	13000	17610	20054	2
1	milu	13000	17960	20733	2
1	milu	13000	18387	21302	2
1	milu	13000	19022	21478	2
1	milu	13000	19581	21543	2
1	milu	13000	20172	21456	2
1	milu	13000	20719	21368	2
1	milu	13000	21278	21499	2
1	milu	13000	21847	21434	2
1	milu	13000	22405	21434	2
1	milu	13000	22909	21368	2
1	milu	13000	23412	20886	2
1	milu	13000	23741	20536	2
1	milu	13000	24091	20054	2
1	milu	13000	24376	19616	2
1	milu	13000	24628	19025	2
1	milu	13000	24814	18368	2
1	milu	13000	25142	17930	2
1	milu	13000	25482	17471	2
1	milu	13000	25777	17055	2
1	milu	13000	26051	16529	2
1	milu	13000	26379	16179	2
1	milu	13000	26500	15588	2
1	milu	13000	26149	15040	2
1	milu	13000	25865	14515	2
1	milu	13000	25525	13989	2
1	milu	13000	25208	13398	2
1	milu	13000	24890	12785	2
1	milu	13000	24606	12347	2
1	milu	13000	24310	11843	2
1	milu	13000	23993	11318	2
1	milu	13000	23642	10880	2
1	milu	13000	23073	10946	2
1	milu	13000	22449	11121	2
1	milu	13000	21847	11055	2
1	milu	13000	21190	11077	2
1	milu	13000	20599	11099	2
1	milu	13000	19931	11121	2
1	milu	13000	19362	11164	2
1	milu	13000	18942	11077	2
1	milu	13000	18519	11077	2
1	milu	13000	18059	11143	2
2	heixiong	13003	17667	11159	2
2	heixiong	13003	17263	11736	2
2	heixiong	13003	16917	12429	2
2	heixiong	13003	16541	13064	2
2	heixiong	13003	16137	13727	2
2	heixiong	13003	15805	14593	2
2	heixiong	13003	15575	15373	2
2	heixiong	13003	15576	16247	2
2	heixiong	13003	15952	17088	2
2	heixiong	13003	16285	17580	2
2	heixiong	13003	16537	18127	2
2	heixiong	13003	16866	18741	2
2	heixiong	13003	17183	19354	2
2	heixiong	13003	17610	20054	2
2	heixiong	13003	17960	20733	2
2	heixiong	13003	18387	21302	2
2	heixiong	13003	19022	21478	2
2	heixiong	13003	19581	21543	2
2	heixiong	13003	20172	21456	2
2	heixiong	13003	20719	21368	2
2	heixiong	13003	21278	21499	2
2	heixiong	13003	21847	21434	2
2	heixiong	13003	22405	21434	2
2	heixiong	13003	22909	21368	2
2	heixiong	13003	23412	20886	2
2	heixiong	13003	23741	20536	2
2	heixiong	13003	24091	20054	2
2	heixiong	13003	24376	19616	2
2	heixiong	13003	24628	19025	2
2	heixiong	13003	24814	18368	2
2	heixiong	13003	25142	17930	2
2	heixiong	13003	25482	17471	2
2	heixiong	13003	25777	17055	2
2	heixiong	13003	26051	16529	2
2	heixiong	13003	26379	16179	2
2	heixiong	13003	26500	15588	2
2	heixiong	13003	26149	15040	2
2	heixiong	13003	25865	14515	2
