nBatch	szType	NpcTemplateId	PosX	PosY	nCamp
1	milu	13000	22098	17362	2
1	milu	13000	19666	14696	2
1	milu	13000	19661	17385	2
1	milu	13000	20781	18218	2
1	milu	13000	19188	16061	2
1	milu	13000	22294	16132	2
1	milu	13000	20607	13638	2
1	milu	13000	20540	15402	2
1	milu	13000	21731	14559	2
1	milu	13000	21122	16760	2
2	heixiong	13003	22098	17362	2
2	heixiong	13003	19666	14696	2
2	heixiong	13003	19661	17385	2
2	heixiong	13003	20781	18218	2
2	heixiong	13003	19188	16061	2
2	heixiong	13003	22294	16132	2
2	heixiong	13003	20607	13638	2
2	heixiong	13003	20540	15402	2
2	heixiong	13003	21731	14559	2
2	heixiong	13003	21122	16760	2
3	eyu	13006	22098	17362	2
3	eyu	13006	19666	14696	2
3	eyu	13006	19661	17385	2
3	eyu	13006	20781	18218	2
3	eyu	13006	19188	16061	2
3	eyu	13006	22294	16132	2
3	eyu	13006	20607	13638	2
3	eyu	13006	20540	15402	2
3	eyu	13006	21731	14559	2
3	eyu	13006	21122	16760	2
4	huanghu	13009	22098	17362	2
4	huanghu	13009	19666	14696	2
4	huanghu	13009	19661	17385	2
4	huanghu	13009	20781	18218	2
4	huanghu	13009	19188	16061	2
4	huanghu	13009	22294	16132	2
4	huanghu	13009	20607	13638	2
4	huanghu	13009	20540	15402	2
4	huanghu	13009	21731	14559	2
4	huanghu	13009	21122	16760	2
5	huanghu	13009	22098	17362	2
5	huanghu	13009	19666	14696	2
5	huanghu	13009	19661	17385	2
5	huanghu	13009	20781	18218	2
5	huanghu	13009	19188	16061	2
5	huanghu	13009	22294	16132	2
5	huanghu	13009	20607	13638	2
5	huanghu	13009	20540	15402	2
5	huanghu	13009	21731	14559	2
5	huanghu	13009	21122	16760	2
6	huanghu	13009	22098	17362	2
6	huanghu	13009	19666	14696	2
6	huanghu	13009	19661	17385	2
6	huanghu	13009	20781	18218	2
6	huanghu	13009	19188	16061	2
6	huanghu	13009	22294	16132	2
6	huanghu	13009	20607	13638	2
6	huanghu	13009	20540	15402	2
6	huanghu	13009	21731	14559	2
6	huanghu	13009	21122	16760	2
