nBatch	szType	NpcTemplateId	PosX	PosY	nCamp
1	milu	13000	22098	17362	2
1	milu	13000	19666	14696	2
1	milu	13000	19661	17385	2
1	milu	13000	20781	18218	2
1	milu	13000	19188	16061	2
1	milu	13000	22294	16132	2
1	milu	13000	20607	13638	2
1	milu	13001	20540	15402	2
1	milu	13000	21731	14559	2
1	milu	13000	21122	16760	2
1	heixiong	13003	22098	17362	2
1	heixiong	13003	19666	14696	2
1	heixiong	13003	19661	17385	2
1	heixiong	13003	20781	18218	2
1	heixiong	13003	19188	16061	2
1	heixiong	13003	22294	16132	2
1	heixiong	13003	20607	13638	2
1	heixiong	13004	20540	15402	2
1	heixiong	13003	21731	14559	2
1	heixiong	13003	21122	16760	2
1	eyu	13006	22098	17362	2
1	eyu	13006	19666	14696	2
1	eyu	13006	19661	17385	2
1	eyu	13006	20781	18218	2
1	eyu	13006	19188	16061	2
1	eyu	13006	22294	16132	2
1	eyu	13006	20607	13638	2
1	eyu	13007	20540	15402	2
1	eyu	13006	21731	14559	2
1	eyu	13006	21122	16760	2
1	huanghu	13009	22098	17362	2
1	huanghu	13009	19666	14696	2
1	huanghu	13009	19661	17385	2
1	huanghu	13009	20781	18218	2
1	huanghu	13009	19188	16061	2
1	huanghu	13009	22294	16132	2
1	huanghu	13009	20607	13638	2
1	huanghu	13010	20540	15402	2
1	huanghu	13009	21731	14559	2
1	huanghu	13009	21122	16760	2
100	protect	13051	19409	17490	1
100	protect	13052	22158	17490	1
100	protect	13053	19276	14077	1
100	protect	13054	22097	13882	1
