nBatch	szType	NpcTemplateId	PosX	PosY	nCamp
1	nanyijisi	13015	17667	11159	2
1	nanyijisi	13015	17263	11736	2
1	nanyijisi	13015	16917	12429	2
1	nanyijisi	13015	16541	13064	2
1	nanyijisi	13015	16137	13727	2
1	nanyijisi	13015	15805	14593	2
1	nanyijisi	13015	15575	15373	2
1	nanyijisi	13015	15576	16247	2
1	nanyijisi	13015	15952	17088	2
1	nanyijisi	13015	16285	17580	2
1	nanyijisi	13015	16537	18127	2
1	nanyijisi	13015	16866	18741	2
1	nanyijisi	13015	17183	19354	2
1	nanyijisi	13015	17610	20054	2
1	nanyijisi	13015	17960	20733	2
1	nanyijisi	13015	18387	21302	2
1	nanyijisi	13015	19022	21478	2
1	nanyijisi	13015	19581	21543	2
1	nanyijisi	13015	20172	21456	2
1	nanyijisi	13015	20719	21368	2
1	nanyijisi	13015	21278	21499	2
1	nanyijisi	13015	21847	21434	2
1	nanyijisi	13015	22405	21434	2
1	nanyijisi	13015	22909	21368	2
1	nanyijisi	13015	23412	20886	2
1	nanyijisi	13015	23741	20536	2
1	nanyijisi	13015	24091	20054	2
1	nanyijisi	13015	24376	19616	2
1	nanyijisi	13015	24628	19025	2
1	nanyijisi	13015	24814	18368	2
1	nanyijisi	13015	25142	17930	2
1	nanyijisi	13015	25482	17471	2
1	nanyijisi	13015	25777	17055	2
1	nanyijisi	13015	26051	16529	2
1	nanyijisi	13015	26379	16179	2
1	nanyijisi	13015	26500	15588	2
1	nanyijisi	13015	26149	15040	2
1	nanyijisi	13015	25865	14515	2
1	nanyijisi	13015	25525	13989	2
1	nanyijisi	13015	25208	13398	2
1	nanyijisi	13015	24890	12785	2
1	nanyijisi	13015	24606	12347	2
1	nanyijisi	13015	24310	11843	2
1	nanyijisi	13015	23993	11318	2
1	nanyijisi	13015	23642	10880	2
1	nanyijisi	13015	23073	10946	2
1	nanyijisi	13015	22449	11121	2
1	nanyijisi	13015	21847	11055	2
1	nanyijisi	13015	21190	11077	2
1	nanyijisi	13015	20599	11099	2
1	nanyijisi	13015	19931	11121	2
1	nanyijisi	13015	19362	11164	2
1	nanyijisi	13015	18942	11077	2
1	nanyijisi	13015	18519	11077	2
1	nanyijisi	13015	18059	11143	2
2	nanyiyongshi	13018	17667	11159	2
2	nanyiyongshi	13018	17263	11736	2
2	nanyiyongshi	13018	16917	12429	2
2	nanyiyongshi	13018	16541	13064	2
2	nanyiyongshi	13018	16137	13727	2
2	nanyiyongshi	13018	15805	14593	2
2	nanyiyongshi	13018	15575	15373	2
2	nanyiyongshi	13018	15576	16247	2
2	nanyiyongshi	13018	15952	17088	2
2	nanyiyongshi	13018	16285	17580	2
2	nanyiyongshi	13018	16537	18127	2
2	nanyiyongshi	13018	16866	18741	2
2	nanyiyongshi	13018	17183	19354	2
2	nanyiyongshi	13018	17610	20054	2
2	nanyiyongshi	13018	17960	20733	2
2	nanyiyongshi	13018	18387	21302	2
2	nanyiyongshi	13018	19022	21478	2
2	nanyiyongshi	13018	19581	21543	2
2	nanyiyongshi	13018	20172	21456	2
2	nanyiyongshi	13018	20719	21368	2
2	nanyiyongshi	13018	21278	21499	2
2	nanyiyongshi	13018	21847	21434	2
2	nanyiyongshi	13018	22405	21434	2
2	nanyiyongshi	13018	22909	21368	2
2	nanyiyongshi	13018	23412	20886	2
2	nanyiyongshi	13018	23741	20536	2
2	nanyiyongshi	13018	24091	20054	2
2	nanyiyongshi	13018	24376	19616	2
2	nanyiyongshi	13018	24628	19025	2
2	nanyiyongshi	13018	24814	18368	2
2	nanyiyongshi	13018	25142	17930	2
2	nanyiyongshi	13018	25482	17471	2
2	nanyiyongshi	13018	25777	17055	2
2	nanyiyongshi	13018	26051	16529	2
2	nanyiyongshi	13018	26379	16179	2
2	nanyiyongshi	13018	26500	15588	2
2	nanyiyongshi	13018	26149	15040	2
2	nanyiyongshi	13018	25865	14515	2
2	nanyiyongshi	13018	25525	13989	2
2	nanyiyongshi	13018	25208	13398	2
2	nanyiyongshi	13018	24890	12785	2
2	nanyiyongshi	13018	24606	12347	2
2	nanyiyongshi	13018	24310	11843	2
2	nanyiyongshi	13018	23993	11318	2
2	nanyiyongshi	13018	23642	10880	2
2	nanyiyongshi	13018	23073	10946	2
2	nanyiyongshi	13018	22449	11121	2
2	nanyiyongshi	13018	21847	11055	2
2	nanyiyongshi	13018	21190	11077	2
2	nanyiyongshi	13018	20599	11099	2
2	nanyiyongshi	13018	19931	11121	2
2	nanyiyongshi	13018	19362	11164	2
2	nanyiyongshi	13018	18942	11077	2
2	nanyiyongshi	13018	18519	11077	2
2	nanyiyongshi	13018	18059	11143	2
3	tuzhuwunv	13021	17667	11159	2
3	tuzhuwunv	13021	17263	11736	2
3	tuzhuwunv	13021	16917	12429	2
3	tuzhuwunv	13021	16541	13064	2
3	tuzhuwunv	13021	16137	13727	2
3	tuzhuwunv	13021	15805	14593	2
3	tuzhuwunv	13021	15575	15373	2
3	tuzhuwunv	13021	15576	16247	2
3	tuzhuwunv	13021	15952	17088	2
3	tuzhuwunv	13021	16285	17580	2
3	tuzhuwunv	13021	16537	18127	2
3	tuzhuwunv	13021	16866	18741	2
3	tuzhuwunv	13021	17183	19354	2
3	tuzhuwunv	13021	17610	20054	2
3	tuzhuwunv	13021	17960	20733	2
3	tuzhuwunv	13021	18387	21302	2
3	tuzhuwunv	13021	19022	21478	2
3	tuzhuwunv	13021	19581	21543	2
3	tuzhuwunv	13021	20172	21456	2
3	tuzhuwunv	13021	20719	21368	2
3	tuzhuwunv	13021	21278	21499	2
3	tuzhuwunv	13021	21847	21434	2
