Stage	StageName	FightPower	AwardType	AwardId	Count	UserValueKey	TimeFrame
1	1	10000	Item	209	2	1	OpenLevel39
1	1	20000	YuanBao		30	2	OpenLevel39
1	1	40000	Coin		5000	3	OpenLevel39
2	2	60000	Item	3001	30	4	OpenLevel39
2	2	75000	Item	3002	3	5	OpenLevel39
2	2	90000	Item	201	10	6	OpenLevel39
3	3	120000	Item	901	50	7	OpenLevel39
3	3	150000	Item	31001	5	8	OpenLevel39
3	3	180000	YuanBao		80	9	OpenLevel49
4	4	210000	Item	209	4	10	OpenLevel49
4	4	250000	YuanBao		100	11	OpenLevel49
4	4	290000	Coin		12000	12	OpenLevel49
5	5	340000	Item	3001	100	13	OpenLevel59
5	5	380000	Item	3002	10	14	OpenLevel59
5	5	420000	Item	201	30	15	OpenLevel59
6	6	460000	Item	901	120	16	OpenLevel59
6	6	500000	Item	31001	12	17	OpenLevel59
6	6	550000	YuanBao		180	18	OpenLevel59
7	7	600000	Item	209	8	19	OpenLevel59
7	7	650000	YuanBao		120	20	OpenLevel59
7	7	700000	Coin		20000	21	OpenLevel69
8	8	750000	Item	3001	120	22	OpenLevel69
8	8	800000	Item	3002	12	23	OpenLevel69
8	8	850000	Item	201	40	24	OpenLevel69
9	9	900000	Item	901	150	25	OpenLevel69
9	9	950000	Item	31001	15	26	OpenLevel69
9	9	1000000	YuanBao		200	27	OpenLevel69
10	10	1050000	Item	209	8	28	OpenLevel69
10	10	1100000	YuanBao		150	29	OpenLevel69
10	10	1150000	Coin		20000	30	OpenLevel79
11	11	1200000	Item	3001	150	31	OpenLevel79
11	11	1250000	Item	3002	15	32	OpenLevel79
11	11	1300000	Item	201	30	33	OpenLevel79
12	12	1350000	Item	901	150	34	OpenLevel79
12	12	1400000	Item	31001	15	35	OpenLevel79
12	12	1450000	YuanBao		200	36	OpenLevel79
13	13	1500000	Item	209	9	37	OpenLevel79
13	13	1550000	YuanBao		150	38	OpenLevel79
13	13	1600000	Coin		18000	39	OpenLevel79
14	14	1650000	Item	3001	180	40	OpenLevel79
14	14	1700000	Item	3002	20	41	OpenLevel79
14	14	1750000	Item	201	40	42	OpenLevel89
