NpcName	ShowName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType		
<i18n=21034>	<i18n=21034>	6124	1		45628	78550	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		46707	78567	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		45637	77012	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6125	1		46757	76878	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		45653	75490	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		46749	75290	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		19848	51590	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		20749	51637	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		19896	50089	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6125	1		20804	50026	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		19896	48730	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		20757	48683	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		40794	31168	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		41778	31226	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		40772	29404	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6125	1		41808	29462	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		40816	27975	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		41815	27873	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		54331	39683	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		55011	39739	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		63873	29059	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		54314	38611	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6125	1		55005	38578	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		63917	27854	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		54264	37340	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		54928	37340	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		64764	27477	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		64665	56587	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		65683	56567	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		64763	55065	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6125	1		65633	54966	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		64754	53582	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		65623	53543	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		83711	34701	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		84756	34791	0	0	191	-1	0	0			
<i18n=15415>	<i18n=15415>	6125	1		83739	32885	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		84846	32885	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		83739	31468	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		84783	31396	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		27731	48324	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		26751	49791	0	0	191	-1	0	0			
<i18n=21034>	<i18n=21034>	6124	1		26801	48177	0	0	191	-1	0	0			
