Path	nX	nY	nFrame
shenmishangren_tianwang_1_1	14362	14836	15
shenmishangren_tianwang_1_1	17156	22202	15
shenmishangren_tianwang_1_1	23074	27282	15
shenmishangren_tianwang_1_1	26780	23430	15
shenmishangren_tianwang_1_1	29580	26362	15
shenmishangren_tianwang_1_1	36611	13004	15
shenmishangren_tianwang_1_1	39458	10569	30
shenmishangren_tianwang_1_1	37022	13616	15
shenmishangren_tianwang_1_1	30595	27437	15
shenmishangren_tianwang_1_1	32805	30081	15
shenmishangren_tianwang_1_1	29298	33889	15
shenmishangren_tianwang_1_1	32601	39366	15
shenmishangren_tianwang_1_1	35056	40540	15
shenmishangren_tianwang_1_1	37451	40594	15
shenmishangren_tianwang_1_1	38949	43182	15
shenmishangren_tianwang_1_1	36919	45008	15
shenmishangren_tianwang_1_1	35651	42072	15
shenmishangren_tianwang_1_1	34626	40930	15
shenmishangren_tianwang_1_1	28308	34738	15
shenmishangren_tianwang_1_1	25965	37331	15
shenmishangren_tianwang_1_1	19751	31105	15
shenmishangren_tianwang_1_1	21906	27890	15
shenmishangren_tianwang_1_1	16961	22266	15
shenmishangren_tianwang_1_1	14057	15247	15
shenmishangren_tianwang_1_1	11695	13108	30
