NpcResId	NpcResFile	NpcShadowResFile	DialogRadius	HeadTextHeight	HeadTextScale	BloodBarHeight	SelectEffectScale	Scale	ShowBoxCollider	BoxColliderSizeX	BoxColliderSizeY	BoxColliderPosX	BoxColliderPosY
1			3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
2	Npc/ani008/ani008.asset	Npc/ani008/ani008_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
3	Npc/enemy062/enemy062.asset	Npc/enemy062/enemy062_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
4	Npc/passerby019/passerby019.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
5	Npc/enemy062/enemy062.asset	Npc/enemy062/enemy062_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
6	Npc/passerby064/passerby064.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
7	Npc/enemy081/enemy081.asset	Npc/enemy081/enemy081_shadow.asset	0.2	1.2	0.008	1.1	0		1	0.6	1	0	0.4
8	Npc/passerby008/passerby008.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
9	Npc/passerby179/passerby179.asset	Npc/passerby179/passerby179_shadow.asset	3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
10	Npc/passerby001/passerby001.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
11	Npc/passerby002/passerby002.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
12	Npc/passerby006/passerby006.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
13	Npc/passerby007/passerby007.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
14	Npc/passerby005/passerby005.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
15	Npc/passerby003/passerby003.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
16	Npc/passerby060/passerby060.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
17	Npc/passerby012/passerby012.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
18	Npc/passerby026/passerby026.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
19	Npc/critter060/critter060.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
20	Npc/passerby013/passerby013.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
21	Npc/passerby012/passerby012.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
22	Npc/passerby016/passerby016.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
23	Npc/passerby002/passerby002.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
24	Npc/passerby055/passerby055.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
25	Npc/passerby094/passerby094.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
26	Npc/enemy157/enemy157.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
27	Npc/enemy159/enemy159.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
28	Npc/passerby043/passerby043.asset		3	1.2	0.008	1.1	0		1	0.6	1	0	0.4
