NpcResId	stand	run	death	wound	sit	attack1	attack2	magic	jump	randomattack	fastattack
1	25	14	15	18	15	14	14	18	27	18	9
2	24	20	20	18	24	27	27	27	27	27	13
3	20	12	18	15	10	14	14	14	27	15	14
4	20	12	18	15	10	14	14	14	27	15	14
5	20	12	18	15	10	14	14	14	27	15	14
6	20	12	18	15	10	14	14	14	27	15	14
7	20	12	18	15	10	14	14	14	27	15	14
8	20	12	18	15	10	14	14	14	27	15	14
9	20	12	18	15	10	14	14	14	27	15	14
10	20	12	18	15	10	14	14	14	27	15	14
11	20	12	18	15	10	14	14	14	27	15	14
12	20	12	18	15	10	14	14	14	27	15	14
13	20	12	18	15	10	14	14	14	27	15	14
14	20	12	18	15	10	14	14	14	27	15	14
15	20	12	18	15	10	14	14	14	27	15	14
16	20	12	18	15	10	14	14	14	27	15	14
17	20	12	18	15	10	14	14	14	27	15	14
18	20	12	18	15	10	14	14	14	27	15	14
19	20	12	18	15	10	14	14	14	27	15	14
20	20	12	18	15	10	14	14	14	27	15	14
21	20	12	18	15	10	14	14	14	27	15	14
22	20	12	18	15	10	14	14	14	27	15	14
23	20	12	18	15	10	14	14	14	27	15	14
24	20	12	18	15	10	14	14	14	27	15	14
25	20	12	18	15	10	14	14	14	27	15	14
26	20	12	18	15	10	14	14	14	27	15	14
27	20	12	18	15	10	14	14	14	27	15	14
28	20	12	18	15	10	14	14	14	27	15	14
29	20	12	18	15	10	14	14	14	27	15	14
100	20	12	18	15	10	14	14	14	27	15	14
101	20	12	18	15	10	14	14	14	27	15	14
102	20	12	18	15	10	14	14	14	27	15	14
103	20	12	18	15	10	14	14	14	27	15	14
500	20	12	18	15	10	14	14	14	27	15	14
1000	20	12	18	15	10	14	14	14	27	15	14
1001	20	12	18	15	10	14	14	14	27	15	14
1002	20	12	18	15	10	14	14	14	27	15	14
1003	20	12	18	15	10	14	14	14	27	15	14
3000	20	12	18	15	10	14	14	14	27	15	14
3001	20	12	18	15	10	14	14	14	27	15	14
3002	20	12	18	15	10	14	14	14	27	15	14
3003	20	12	18	15	10	14	14	14	27	15	14
3004	20	12	18	15	10	14	14	14	27	15	14
3005	20	12	18	15	10	14	14	14	27	15	14
3006	20	12	18	15	10	14	14	14	27	15	14
3007	20	12	18	15	10	14	14	14	27	15	14
3008	20	12	18	15	10	14	14	14	27	15	14
3009	20	12	18	15	10	14	14	14	27	15	14
3010	20	12	18	15	10	14	14	14	27	15	14
3011	20	12	18	15	10	14	14	14	27	15	14
3012	20	12	18	15	10	14	14	14	27	15	14
3013	20	12	18	15	10	14	14	14	27	15	14
3014	20	12	18	15	10	14	14	14	27	15	14
3015	20	12	18	15	10	14	14	14	27	15	14
3016	20	12	18	15	10	14	14	14	27	15	14
3017	20	12	18	15	10	14	14	14	27	15	14
3018	20	12	18	15	10	14	14	14	27	15	14
3019	20	12	18	15	10	14	14	14	27	15	14
3020	20	12	18	15	10	14	14	14	27	15	14
3021	20	12	18	15	10	14	14	14	27	15	14
3022	20	12	18	15	10	14	14	14	27	15	14
3023	20	12	18	15	10	14	14	14	27	15	14
3024	20	12	18	15	10	14	14	14	27	15	14
3025	20	12	18	15	10	14	14	14	27	15	14
3026	20	12	18	15	10	14	14	14	27	15	14
3027	20	12	18	15	10	14	14	14	27	15	14
3028	20	12	18	15	10	14	14	14	27	15	14
3029	20	12	18	15	10	14	14	14	27	15	14
3030	20	12	18	15	10	14	14	14	27	15	14
3031	20	12	18	15	10	14	14	14	27	15	14
3032	20	12	18	15	10	14	14	14	27	15	14
3033	20	12	18	15	10	14	14	14	27	15	14
3034	20	12	18	15	10	14	14	14	27	15	14
3035	20	12	18	15	10	14	14	14	27	15	14
3036	20	12	18	15	10	14	14	14	27	15	14
3037	20	12	18	15	10	14	14	14	27	15	14
3038	20	12	18	15	10	14	14	14	27	15	14
3039	20	12	18	15	10	14	14	14	27	15	14
3040	20	12	18	15	10	14	14	14	27	15	14
3041	20	12	18	15	10	14	14	14	27	15	14
3042	20	12	18	15	10	14	14	14	27	15	14
3043	20	12	18	15	10	14	14	14	27	15	14
3044	20	12	18	15	10	14	14	14	27	15	14
3045	20	12	18	15	10	14	14	14	27	15	14
3046	20	12	18	15	10	14	14	14	27	15	14
3047	20	12	18	15	10	14	14	14	27	15	14
3048	20	12	18	15	10	14	14	14	27	15	14
3049	20	12	18	15	10	14	14	14	27	15	14
3050	20	12	18	15	10	14	14	14	27	15	14
3051	20	12	18	15	10	14	14	14	27	15	14
3052	20	12	18	15	10	14	14	14	27	15	14
