NpcTemplateId	PosX	PosY
12410	69360	69749
13057	59465	66263
13057	65594	59703
13057	70287	65322
13057	65463	74266
13063	64330	60810
13063	64970	58733
13063	67187	59310
13063	66681	61440
13063	68754	63398
13063	69636	66250
13063	71594	65523
13065	57964	66034
13065	59425	64902
13065	59981	68128
13065	61153	66570
13065	62439	70341
13065	64516	73579
13065	66513	73188
13056	70161	74308
13056	73080	70974
12422	35304	33331
12422	37155	31900
12422	45838	44454
12422	47114	45476
12422	48028	46793
12422	50656	49271
12422	51621	50088
12422	53112	48250
12422	52177	47394
13055	34397	52816
13056	26407	60603
13056	24258	66162
13056	39371	83560
13055	41398	94766
13057	52687	110303
13056	65808	79957
13055	81823	88511
12422	90054	93486
12422	91600	94939
12422	86930	88572
12422	85582	87542
12422	96010	99627
13055	88537	82245
13056	96147	66105
13057	90652	52876
13056	83589	52876
13057	73991	37001
13057	59442	27681
13055	55492	32337
13055	48372	39456
13055	41413	45904
13057	42843	52674
13056	55563	64732
13056	53613	62796
13056	51180	65626
13056	53151	67463
13062	60147	51789
12422	59919	52368
12422	60830	53336
12422	77048	44751
12422	78131	45737
12422	80246	47851
12422	79149	46730
12422	82611	50059
12422	81485	48908
12422	77365	63556
13056	71944	51568
13056	82116	58750
13055	92470	77920
13056	94021	72275
