NpcTemplateId	PosX	PosY
13163	43387	88635
13163	48322	84434
13163	57967	74966
13163	62572	64043
13163	69191	66204
13163	62927	70363
13163	79151	79955
13163	86911	88083
13163	97661	98150
13165	39910	88504
13165	43128	92187
13165	47182	87989
13165	43258	84381
13165	52068	84037
13165	49851	81877
13165	52695	79282
13165	56053	79023
13165	60945	72981
13165	59572	71495
13165	58564	67814
13163	58712	62339
13165	53946	63061
13165	56498	59146
13165	59639	57885
13165	65651	74613
13165	68865	70988
13165	71246	68874
13165	70128	74015
13165	73003	70670
13165	66570	57312
13165	73700	76403
13165	76505	80311
13165	79607	83394
13165	83511	87298
13165	87416	83823
13165	87673	90415
13165	93010	91155
13165	91360	94769
13165	94444	98401
13165	97145	95360
13161	41648	86273
13161	45269	89960
13161	53157	82005
13161	55216	61121
13161	61298	56554
13161	67541	58689
13161	72868	67589
13161	68043	71860
13161	64176	73498
13161	78074	81860
13161	86531	82473
13161	95646	99678
13161	94998	93384
13161	72206	75103
13161	80794	84738
13161	89460	93135
13161	90771	88701
13161	57043	66255
