Key	AwardType	AwardSubType	Count	TimeFrameStart	TimeFrameEnd	IsAdd2Auction
3	Item	30516	1	OpenLevel39		0
3	Item	232	30	OpenLevel39		0
2	Item	30101	2	OpenLevel39		0
2	Item	232	20	OpenLevel39		0
1	Item	400005	4	OpenLevel39		0
1	Item	232	10	OpenLevel39		0
15	Item	30516	1	OpenLevel39		0
15	Item	232	30	OpenLevel39		0
14	Item	30516	1	OpenLevel39		0
14	Item	2434	1	OpenLevel39		0
14	Item	232	50	OpenLevel39		0
13	Item	30517	1		OpenLevel59	0
13	Item	846	1		OpenLevel59	0
13	Item	2434	2		OpenLevel59	0
13	Item	30962	1		OpenLevel59	0
13	Item	30517	1	OpenLevel59	OpenLevel79	0
13	Item	846	1	OpenLevel59	OpenLevel79	0
13	Item	2434	2	OpenLevel59	OpenLevel79	0
13	Item	30963	1	OpenLevel59	OpenLevel79	0
13	Item	30517	1	OpenLevel79	OpenLevel99	0
13	Item	846	1	OpenLevel79	OpenLevel99	0
13	Item	2434	2	OpenLevel79	OpenLevel99	0
13	Item	30964	1	OpenLevel79	OpenLevel99	0
13	Item	30517	1	OpenLevel99	OpenLevel119	0
13	Item	846	1	OpenLevel99	OpenLevel119	0
13	Item	2434	2	OpenLevel99	OpenLevel119	0
13	Item	30965	1	OpenLevel99	OpenLevel119	0
13	Item	30517	1	OpenLevel119	OpenLevel139	0
13	Item	846	1	OpenLevel119	OpenLevel139	0
13	Item	2434	2	OpenLevel119	OpenLevel139	0
13	Item	30966	1	OpenLevel119	OpenLevel139	0
13	Item	30517	1	OpenLevel139	OpenLevel159	0
13	Item	846	1	OpenLevel139	OpenLevel159	0
13	Item	2434	2	OpenLevel139	OpenLevel159	0
13	Item	30967	1	OpenLevel139	OpenLevel159	0
13	Item	30517	1	OpenLevel159	OpenLevel179	0
13	Item	846	1	OpenLevel159	OpenLevel179	0
13	Item	2434	2	OpenLevel159	OpenLevel179	0
13	Item	30968	1	OpenLevel159	OpenLevel179	0
13	Item	30517	1	OpenLevel179	OpenLevel199	0
13	Item	846	1	OpenLevel179	OpenLevel199	0
13	Item	2434	2	OpenLevel179	OpenLevel199	0
13	Item	30969	1	OpenLevel179	OpenLevel199	0
13	Item	30517	1	OpenLevel199		0
13	Item	846	1	OpenLevel199		0
13	Item	2434	2	OpenLevel199		0
13	Item	30970	1	OpenLevel199		0
12	Item	30517	1		OpenLevel59	0
12	Item	846	1		OpenLevel59	0
12	Item	2433	1		OpenLevel59	0
12	Item	30952	1		OpenLevel59	0
12	Item	30517	1	OpenLevel59	OpenLevel79	0
12	Item	846	1	OpenLevel59	OpenLevel79	0
12	Item	2433	1	OpenLevel59	OpenLevel79	0
