Batch	NpcType	NpcTemplateId	PosX	PosY	Sequence
1	2	7014	10713	17262	2
1	2	7014	24577	16697	3
1	2	7014	11078	30273	1
1	0	3028	12010	31443	0
1	2	7014	24287	30469	4
1	0	3028	10218	29058	0
1	0	3028	11346	28064	0
1	0	3028	12734	29773	0
1	0	3028	12526	28038	0
1	0	3028	9859	18506	0
1	0	3028	11688	15861	0
1	0	3028	23597	14788	0
1	0	3028	25804	18101	0
1	0	3028	23271	16605	0
1	0	3028	10995	19066	0
1	0	3028	11944	17721	0
1	0	3028	12092	19236	0
1	0	3028	23385	18640	0
1	0	3028	24463	18790	0
1	0	3028	23273	31855	0
1	0	3028	22973	29860	0
1	0	3028	25231	28907	0
1	0	3028	22768	27735	0
1	0	3028	23913	28665	0
1	7	9002	28387	38756	0
2	0	3029	27605	44783	0
2	0	3029	33556	38478	0
2	0	3029	34879	35355	0
2	0	3029	34443	37133	0
2	0	3029	33392	36698	0
2	0	3029	26578	43348	0
2	0	3029	26636	44863	0
2	0	3029	26583	46443	0
2	0	3029	25664	45553	0
2	0	3029	35429	36935	0
2	2	7000	34690	45817	0
2	0	3029	34353	54098	0
2	0	3029	35400	54573	0
2	0	3029	35836	52773	0
2	0	3029	34786	52468	0
2	0	3029	33632	53008	0
2	0	3029	42638	46748	0
2	0	3029	43040	44818	0
2	0	3029	43668	46008	0
2	0	3029	44587	44663	0
2	0	3029	43349	42798	0
2	0	3029	24014	59008	0
2	0	3029	24513	57143	0
2	0	3029	24433	55473	0
2	0	3029	23251	55233	0
2	0	3029	21736	55773	0
2	0	3031	23012	57353	0
2	0	3029	44042	43793	0
2	0	3032	45893	30861	0
2	0	3029	44472	33197	0
2	0	3029	44338	31288	0
2	0	3029	45833	33268	0
2	0	3029	44678	29683	0
2	0	3029	47177	32823	0
3	0	3033	46126	60412	0
3	0	3030	45547	62057	0
3	0	3030	44791	61297	0
3	0	3030	43959	60082	0
3	0	3030	44824	58802	0
3	0	3030	45610	57782	0
3	0	3030	46497	58712	0
3	0	3030	47255	59577	0
2	7	9002	40320	55419	0
2	7	9002	40953	54726	0
2	7	9002	41663	53885	0
1	7	9002	29016	38087	0
1	7	9002	29691	37290	0
