Id	ItemId	ItemCount	MaxItemCount	TypeName	MoneyType	StartTimeFrame	EndTimeFrame	OrgPrice	Fix2ndPrice	AddRatePerTime	MaxSyncNum	NeedSysBid	OpenByTimeFrame	Sort
1	927	5	1	<i18n=7021>	Gold	OpenLevel309		1	300	15	5	1		1
2	927	15	1	<i18n=7021>	Gold	OpenLevel289	OpenLevel309	1	300	15	15	1		2
3	926	5	1	<i18n=7021>	Gold	OpenLevel289	OpenLevel309	1	300	15	5	1		3
4	926	15	1	<i18n=7021>	Gold	OpenLevel269	OpenLevel289	1	300	15	15	1		4
5	925	5	1	<i18n=7021>	Gold	OpenLevel269	OpenLevel289	1	300	15	5	1		5
6	925	15	1	<i18n=7021>	Gold	OpenLevel249	OpenLevel269	1	300	15	15	1		6
7	924	5	1	<i18n=7021>	Gold	OpenLevel249	OpenLevel269	1	300	15	5	1		7
8	924	15	1	<i18n=7021>	Gold	OpenLevel229	OpenLevel249	1	300	15	15	1		8
9	923	5	1	<i18n=7021>	Gold	OpenLevel229	OpenLevel249	1	300	15	5	1		9
10	923	15	1	<i18n=7021>	Gold	OpenLevel209	OpenLevel229	1	300	15	15	1		10
11	907	5	1	<i18n=7021>	Gold	OpenLevel209	OpenLevel229	1	300	15	5	1		11
12	907	15	1	<i18n=7021>	Gold	OpenLevel189	OpenLevel209	1	300	15	15	1		12
13	920	5	1	<i18n=7021>	Gold	OpenLevel189	OpenLevel209	1	300	15	5	1		13
14	920	15	1	<i18n=7021>	Gold	OpenLevel169	OpenLevel189	1	300	15	15	1		14
15	919	5	1	<i18n=7021>	Gold	OpenLevel169	OpenLevel189	1	300	15	5	1		15
16	919	15	1	<i18n=7021>	Gold	OpenLevel149	OpenLevel169	1	300	15	15	1		16
17	918	5	1	<i18n=7021>	Gold	OpenLevel149	OpenLevel169	1	300	15	5	1		17
18	918	15	1	<i18n=7021>	Gold	OpenLevel129	OpenLevel149	1	300	15	15	1		18
19	906	5	1	<i18n=7021>	Gold	OpenLevel129	OpenLevel149	1	300	15	5	1		19
20	906	15	1	<i18n=7021>	Gold	OpenLevel119	OpenLevel129	1	300	15	15	1		20
21	906	15	1	<i18n=7021>	Gold	OpenLevel109	OpenLevel119	1	300	15	15	1		21
22	905	5	1	<i18n=7021>	Gold	OpenLevel119	OpenLevel129	1	300	15	5	1		22
23	905	5	1	<i18n=7021>	Gold	OpenLevel109	OpenLevel119	1	300	15	5	1		23
24	905	15	1	<i18n=7021>	Gold	OpenLevel99	OpenLevel109	1	300	15	15	1		24
25	917	5	1	<i18n=7021>	Gold	OpenLevel99	OpenLevel109	1	200	15	5	1		25
26	917	15	1	<i18n=7021>	Gold	OpenLevel89	OpenLevel99	1	200	15	15	1		26
27	916	5	1	<i18n=7021>	Gold	OpenLevel89	OpenLevel99	1	200	15	5	1		27
28	916	15	1	<i18n=7021>	Gold	OpenLevel79	OpenLevel89	1	200	15	15	1		28
29	915	5	1	<i18n=7021>	Gold	OpenLevel79	OpenLevel89	1	120	15	5	1		29
