NpcName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType	ShowName
<i18n=15384>	9050	60		19174	142439	0	0	191	-1	0	0			1	
<i18n=8559>	9051	60		106266	43598	0	0	191	-1	0	0			1	
<i18n=13043>	7196	60		102907	98547	0	0	191	-1	0	0			1	
<i18n=7735>	7189	60		90799	89348	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		98513	132232	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		97231	131614	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		95057	128652	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		99959	132383	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		96808	129796	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		97104	125626	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		100513	125760	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		99642	123769	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		101036	124782	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		101817	126650	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		101141	130310	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		96280	124867	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		98604	130667	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		97621	123954	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		96565	128202	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		101964	91500	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		102966	92542	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		102941	89121	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		105775	89250	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		103138	87176	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		105826	87081	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		106631	87970	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		107095	90091	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		106525	91924	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		105473	93247	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		104033	93478	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		104157	89973	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		104246	91806	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		102125	86786	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		102828	91133	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		67590	126726	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		66612	130006	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		67513	128950	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		66525	124674	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		66354	126992	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		68969	129330	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		68829	123023	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		70559	126929	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		70368	129179	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		70349	123456	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		67582	123462	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		71964	126434	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		71968	128656	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		71449	124323	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		69135	127186	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		76801	122307	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		74406	121065	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		77945	120363	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		75122	117788	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		78049	117996	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		78172	115825	0	0	191	-1	0	0			1	
<i18n=3216>	9049	60		75669	113574	0	0	191	-1	0	0			1	
