TemplateId	Altlas	SpriteName
10001	UIAtlas/XJChatFrame.prefab	XJChat_HeadFrame_Normal
10002	UIAtlas/XJChatFrame.prefab	XJChat_HeadFrame_Wuniang
10003	UIAtlas/XJChatFrame.prefab	XJChat_HeadFrame_Xianmengbaobei
10004	UIAtlas/XJChatFrame.prefab	XJChat_HeadFrame_Zixiaogong
10005	UIAtlas/XJChatFrame.prefab	XJChat_HeadFrame_Menpaishouzuo
10006	UIAtlas/XJChatFrame.prefab	XJChat_HeadFrame_Huashanlunjian
10007	UIAtlas/XJChatFrame.prefab	XJChat_HeadFrame_Gengfu
10008	UIAtlas/XJChatFrame.prefab	XJChat_HeadFrame_Mozushizhe
10009	UIAtlas/XJChatFrame.prefab	XJChat_HeadFrame_Qigai
10010	UIAtlas/XJChatFrame.prefab	XJChat_HeadFrame_VIP
10011	UIAtlas/XJChatFrame.prefab	XJChat_HeadFrame_Yuelao
10012	UIAtlas/XJChatFrame.prefab	XJChat_HeadFrame_Danqiuyuxian
10013	UIAtlas/XJChatFrame.prefab	XJChat_HeadFrame_Qingqiuyinyue
10014	UIAtlas/XJChatFrame.prefab	XJChat_HeadFrame_WXAppointment
10015	UIAtlas/XJChatFrame.prefab	XJChat_HeadFrame_QQAppointment
10016	UIAtlas/XJChatFrame.prefab	XJChat_HeadFrame_QQSuperVIP
10017	UIAtlas/XJChatFrame.prefab	XJChat_HeadFrame_NewYear
10018	UIAtlas/XJChatFrame.prefab	XJChat_HeadFrame_Yiyuwuzhe
20001	UIAtlas/XJChatFrame.prefab	XJChat_ChatBase_Normal
20002	UIAtlas/XJChatFrame.prefab	XJChat_ChatBase_Wuniang
20003	UIAtlas/XJChatFrame.prefab	XJChat_ChatBase_Xianmengbaobei
20004	UIAtlas/XJChatFrame.prefab	XJChat_ChatBase_Zixiaogong
20005	UIAtlas/XJChatFrame.prefab	XJChat_ChatBase_Menpaishouzuo
20006	UIAtlas/XJChatFrame.prefab	XJChat_ChatBase_Huashanlunjian
20007	UIAtlas/XJChatFrame.prefab	XJChat_ChatBase_Gengfu
20008	UIAtlas/XJChatFrame.prefab	XJChat_ChatBase_Mozushizhe
20009	UIAtlas/XJChatFrame.prefab	XJChat_ChatBase_Qigai
20010	UIAtlas/XJChatFrame.prefab	XJChat_ChatBase_VIP
20011	UIAtlas/XJChatFrame.prefab	XJChat_ChatBase_Yuelao
20012	UIAtlas/XJChatFrame.prefab	XJChat_ChatBase_Danqiuyuxian
20013	UIAtlas/XJChatFrame.prefab	XJChat_ChatBase_Qingqiuyinyue
20014	UIAtlas/XJChatFrame.prefab	XJChat_ChatBase_WXAppointment
20015	UIAtlas/XJChatFrame.prefab	XJChat_ChatBase_QQAppointment
20016	UIAtlas/XJChatFrame.prefab	XJChat_ChatBase_QQSuperVIP
20017	UIAtlas/XJChatFrame.prefab	XJChat_ChatBase_NewYear
20018	UIAtlas/XJChatFrame.prefab	XJChat_ChatBase_Yiyuwuzhe
