nStage	szType	NpcTemplateId	PosX	PosY	bEnd	nCamp
6	EnterMap	12227	16539	30794	1	
3	lichunfeng	12217	19777	28198		4
5	EnterMap	12221	19877	37502		
2	EnterMap	12213	34447	55649	1	
4	xiaotaijian	12220	30144	34256	1	4
4	Trap	10000	30277	33999		
2	Trap	10000	31871	53244		
5	Trap	10000	22261	34727		
1	Trap	10000	25208	18927		
3	Trap	10000	21872	26048		
5	zhuofeifan	12223	21774	34536		
5	zixuan	12222	21774	34536		
5	nalanzhen	12224	21774	34536	1	
3	yuantiangang	12216	20807	29172	1	4
3	baoxiang	12239	21202	26991		
3	EnterMap	12214	23558	32259		
3	EnterMap	12215	24414	31574		
3	fangshi	12240	17945	25927		3
3	fangshi	12240	19882	24034		3
3	fangshi	12240	21864	22140		3
3	fangshi	12240	21986	30692		3
3	fangshi	12240	23757	28262		3
3	fangshi	12240	25739	26367		3
4	EnterMap	12219	29592	39358		
4	EnterMap	12218	31684	40239		
4	baoxiang	12239	28533	36379		
4	yuanzhuzhe	12236	27150	33641		3
4	yuanzhuzhe	12236	29098	31707		3
4	yuanzhuzhe	12236	30685	36644		3
4	yuanzhuzhe	12236	32363	34990		3
5	baoxiang	12239	21907	35149		
5	shangqingcao	12225	21649	30904		
5	shangqingcao	12225	26274	34890		
5	shangqingcao	12225	22627	38532		
5	shangqingcao	12225	18046	34249		
5	yueyinghua	12226	25412	43684		
5	yueyinghua	12226	26379	42487		
5	yueyinghua	12226	29271	39961		
5	yueyinghua	12226	30373	38707		
2	baoxiang	12239	33272	54472		
6	kuilei	12241	16694	41214		
6	kuilei	12241	6826	30578		
6	kuilei	12241	16446	21090		
6	kuilei	12241	26811	30862		
6	baoxiang	12239	18781	28587		
5	shangqingcao	12225	24212	36738		
5	shangqingcao	12225	19964	31945		
4	dinggubingpo	12251	27130	33645		4
4	dinggubingpo	12251	29096	31698		4
4	dinggubingpo	12251	30680	36635		4
4	dinggubingpo	12251	32370	35004		4
6	kuilei	12241	16027	20320		
6	kuilei	12241	6432	30251		
6	kuilei1	12253	15660	32157		
6	kuilei	12241	6426	30883		
6	kuilei	12241	27375	31482		
6	kuilei	12241	27313	30367		
6	kuilei	12241	17180	41768		
6	kuilei	12241	16302	41733		
6	kuilei	12241	16890	20142		
6	kuilei1	12253	16412	32609		
6	kuilei1	12253	15232	31493		
6	kuilei1	12253	14920	30825		
6	kuilei1	12253	15168	29597		
6	kuilei1	12253	17224	32329		
6	kuilei1	12253	17880	30553		
6	kuilei1	12253	17960	29493		
6	kuilei1	12253	17732	31457		
6	kuilei1	12253	15948	28817		
6	kuilei1	12253	16700	28597		
6	kuilei1	12253	17536	28993		
6	heishui	12233	6107	30626		
6	heishui	12233	16439	20311		
6	heishui	12233	16744	41616		
6	heishui	12233	27282	30944		
6	shenyuanshouhuzhe	12232	16544	30804	
6	youmingquan	12229	16687	40058		
6	youmingquan	12229	7732	30982		
6	youmingquan	12229	16410	22649		
6	youmingquan	12229	25388	31356		
