Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut	BindType
1	1	Item	31002	1	1	6000			1	1
1	1	Item	31003	1	1	6000			1	1
1	1	Item	31004	1	1	6000			1	1
1	1	Item	31005	1	1	6000			1	1
1	1	Item	31006	1	1	6000			1	1
1	1	Item	410	2	2	150000		OpenLevel119	1	1
1	1	Item	411	2	2	150000		OpenLevel119	1	1
1	1	Item	410	2	2	120000	OpenLevel119		1	1
1	1	Item	411	2	2	120000	OpenLevel119		1	1
1	1	Item	324	1	1	150000			1	1
1	1	Item	210	1	1	150000			1	1
1	1	Item	211	1	1	50000			1	1
1	1	Coin		2000	2000	170000			1	1
1	1	Coin		1000	1000	150000			1	1
1	1	Item	35319	1	1	60000	OpenLevel119		1	1
