Batch	MapIndex	NpcTemplateId	PosX	PosY
1	1	2998	17022	21164
1	1	2999	20725	25106
1	1	3011	19267	27525
1	1	3011	19445	23528
1	1	3011	18406	22364
1	1	2998	18072	26091
1	1	2999	16872	24806
1	1	2998	15571	23562
2	1	3012	25982	32478
2	1	3012	22724	28797
3	1	3013	35720	43352
4	1	3014	17780	60970
4	1	3014	15508	61076
4	1	3014	17767	58269
4	1	3014	20555	61089
4	1	3014	19791	59504
4	1	3014	18453	63320
5	1	3015	28638	74525
6	1	3025	45312	58134
6	1	3025	43878	60143
6	1	3025	44535	58967
7	1	3019	61530	44446
8	2	3017	31026	35285
9	2	3020	15228	20322
22	1	111	28658	74658
20	1	111	25482	32087
21	1	111	36138	43633
23	1	111	70724	53514
24	2	111	31048	35249
25	2	111	11793	17941
26	1	10000	74985	58567
