nConfigId	nMapId	nLocX	nLocY
1	51	48281	87344
1	51	49633	88193
1	51	50948	89301
1	51	52477	90315
1	51	53889	91019
1	51	55046	88507
1	51	53580	87359
1	51	51923	85846
1	51	50302	84698
1	51	48218	83385
1	51	49411	80827
1	51	51241	81428
1	51	53111	82981
1	51	54577	84990
1	51	55665	85879
1	51	42014	109924
1	51	43670	110767
1	51	45703	111671
1	51	47058	112604
1	51	48970	113718
1	51	49527	110406
1	51	47781	108990
1	51	45718	107726
1	51	44122	107364
1	51	42586	106009
1	51	42737	101733
1	51	45071	102937
1	51	46832	103660
1	51	48654	104774
1	51	49979	106130
1	51	40263	95585
1	51	42758	95574
1	51	44904	95258
1	27	46999	148455
1	27	48171	145675
1	27	49779	142260
1	27	50780	139087
1	27	52156	135795
1	27	55024	137739
1	27	53380	141231
1	27	52241	144960
1	27	50970	147502
1	27	50494	151076
1	27	54346	152823
1	27	54763	149567
1	27	55478	144841
1	27	56431	141625
1	27	57324	138487
1	27	36316	113727
1	27	37728	115873
1	27	40072	117229
1	27	42500	118527
1	27	45154	118584
1	27	46086	116212
1	27	43520	113834
1	27	41654	112196
1	27	39561	110335
1	27	37954	108588
1	27	41088	104635
1	27	43008	106329
1	27	44787	107911
1	27	46450	110281
1	27	48063	113219
1	27	55938	134145
1	27	40623	107613
1	27	38588	121857
