nFaction	nSect	szWeaponName
1	0	<i18n=58519>
1	1	<i18n=5355>
2	0	<i18n=14390>
2	1	<i18n=58528>
3	0	<i18n=58527>
3	1	<i18n=13037>
4	0	<i18n=5355>
4	1	<i18n=58515>
5	0	<i18n=6722>
5	1	<i18n=58515>
6	0	<i18n=6722>
6	1	<i18n=5355>
7	0	<i18n=58515>
7	1	<i18n=58519>
8	0	<i18n=14390>
8	1	<i18n=5355>
9	0	<i18n=6722>
9	1	<i18n=6722>
10	0	<i18n=5355>
10	1	<i18n=6722>
11	0	<i18n=58528>
11	1	<i18n=6722>
12	0	<i18n=58515>
12	1	<i18n=6722>
13	0	<i18n=6722>
13	1	<i18n=58527>
14	0	<i18n=58517>
14	1	<i18n=58517>
15	0	<i18n=58515>
15	1	<i18n=6722>
16	0	<i18n=59134>
16	1	<i18n=58519>
17	0	<i18n=59132>
17	1	<i18n=6722>
18	0	<i18n=6722>
18	1	<i18n=38931>
19	0	<i18n=79591>
19	1	<i18n=79627>
20	0	<i18n=5355>
20	1	<i18n=12629>
