Sex	WeaponId	PlayerActionGroup
0	1	0
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
0	7	1
0	8	1
0	9	1
0	10	1
0	11	1
0	12	1
0	13	1
0	14	2
0	15	2
0	16	2
0	17	2
0	18	2
0	19	2
0	20	2
0	21	2
0	22	2
0	23	2
0	24	2
0	25	2
0	26	3
0	27	3
0	28	3
0	29	3
0	30	3
0	31	3
0	32	0
0	33	0
0	34	0
0	35	1
0	36	1
0	37	1
0	38	1
0	39	1
0	40	1
0	41	3
0	42	3
0	43	2
0	44	2
0	45	2
0	46	2
0	47	1
0	48	1
0	49	1
0	50	1
0	51	1
0	52	1
0	53	1
0	54	1
0	55	1
0	56	1
0	57	2
0	58	2
0	59	3
0	60	1
0	61	1
0	62	1
0	63	1
0	64	1
0	65	1
0	66	1
0	67	1
0	68	1
0	69	1
0	70	2
0	71	2
0	72	3
0	73	1
0	74	1
0	75	0
0	76	1
0	77	1
0	78	2
0	79	2
0	80	3
0	81	1
0	82	1
0	83	2
0	84	2
0	85	3
0	86	0
0	87	0
0	88	1
0	89	1
0	90	2
0	91	2
0	92	3
0	93	0
0	94	0
0	95	1
0	96	1
0	97	1
0	98	1
0	99	1
0	100	1
0	101	1
0	102	1
0	103	1
0	104	1
0	105	1
0	106	1
0	107	1
0	108	1
0	109	1
0	110	2
0	111	2
0	112	1
0	113	3
0	114	0
0	115	0
0	116	1
0	117	1
0	118	1
0	119	1
0	120	1
0	121	1
0	122	1
0	123	1
0	124	1
0	125	1
0	126	1
0	127	1
0	128	1
0	129	1
0	130	1
0	131	1
0	132	1
0	133	1
0	134	0
0	135	1
0	136	0
0	137	1
0	138	1
0	139	0
0	140	1
0	141	0
0	142	1
0	143	0
0	144	1
0	145	1
0	146	0
0	147	1
0	148	2
0	149	2
0	150	2
0	151	2
0	152	2
0	153	2
0	154	2
0	155	2
0	156	2
0	157	2
0	158	2
0	159	2
0	160	2
0	161	2
0	162	2
0	163	2
0	164	2
0	165	2
0	166	1
0	167	1
0	168	1
0	169	1
0	170	1
0	171	1
0	172	1
0	173	1
0	174	1
0	175	1
0	176	1
0	177	1
0	178	1
0	179	1
0	180	1
0	181	1
1	1	0
1	2	1
1	3	1
1	4	1
1	5	1
1	6	1
1	7	1
1	8	1
1	9	1
1	10	1
1	11	1
1	12	1
1	13	1
1	14	2
1	15	2
1	16	2
1	17	2
1	18	2
1	19	2
1	20	2
1	21	2
1	22	2
1	23	2
1	24	2
1	25	2
1	26	3
1	27	3
1	28	3
1	29	3
1	30	3
1	31	3
1	32	0
1	33	0
1	34	0
1	35	1
1	36	1
1	37	1
1	38	1
1	39	1
1	40	1
1	41	3
1	42	3
1	43	2
1	44	2
1	45	2
1	46	2
1	47	1
1	48	1
1	49	1
1	50	1
1	51	1
1	52	1
1	53	1
1	54	1
1	55	1
1	56	1
1	57	2
1	58	2
1	59	3
1	60	1
1	61	1
1	62	1
1	63	1
1	64	1
1	65	1
1	66	1
1	67	1
1	68	1
1	69	1
1	70	2
1	71	2
1	72	3
1	73	1
1	74	1
1	75	0
1	76	1
1	77	1
1	78	2
1	79	2
1	80	3
1	81	1
1	82	1
1	83	2
1	84	2
1	85	3
1	86	0
1	87	0
1	88	1
1	89	1
1	90	2
1	91	2
1	92	3
1	93	0
1	94	0
1	95	1
1	96	1
1	97	1
1	98	1
1	99	1
1	100	1
1	101	1
1	102	1
1	103	1
1	104	1
1	105	1
1	106	1
1	107	1
1	108	1
1	109	1
1	110	2
1	111	2
1	112	1
1	113	3
1	114	0
1	115	0
1	116	1
1	117	1
1	118	1
1	119	1
1	120	1
1	121	1
1	122	1
1	123	1
1	124	1
1	125	1
1	126	1
1	127	1
1	128	1
1	129	1
1	130	1
1	131	1
1	132	1
1	133	1
1	134	0
1	135	1
1	136	0
1	137	1
1	138	1
1	139	0
1	140	1
1	141	0
1	142	1
1	143	0
1	144	1
1	145	1
1	146	0
1	147	1
1	148	2
1	149	2
1	150	2
1	151	2
1	152	2
1	153	2
1	154	2
1	155	2
1	156	2
1	157	2
1	158	2
1	159	2
1	160	2
1	161	2
1	162	2
1	163	2
1	164	2
1	165	2
1	166	1
1	167	1
1	168	1
1	169	1
1	170	1
1	171	1
1	172	1
1	173	1
1	174	1
1	175	1
1	176	1
1	177	1
1	178	1
1	179	1
1	180	1
1	181	1
