FactionID	FactionSect	Level	Vitality	Strength	Dexterity	Energy
1	0	1	25	25	25	25
1	0	2	29	30	25	26
1	0	3	33	35	25	27
1	0	4	37	40	25	28
1	0	5	41	45	25	29
1	0	6	45	50	25	30
1	0	7	49	55	25	31
1	0	8	53	60	25	32
1	0	9	57	65	25	33
1	0	10	61	70	25	34
1	0	11	65	75	25	35
1	0	12	69	80	25	36
1	0	13	73	85	25	37
1	0	14	77	90	25	38
1	0	15	81	95	25	39
1	0	16	85	100	25	40
1	0	17	89	105	25	41
1	0	18	93	110	25	42
1	0	19	97	115	25	43
1	0	20	101	120	25	44
1	0	21	105	125	25	45
1	0	22	109	130	25	46
1	0	23	113	135	25	47
1	0	24	117	140	25	48
1	0	25	121	145	25	49
1	0	26	125	150	25	50
1	0	27	129	155	25	51
1	0	28	133	160	25	52
1	0	29	137	165	25	53
1	0	30	141	170	25	54
1	0	31	145	175	25	55
1	0	32	149	180	25	56
1	0	33	153	185	25	57
1	0	34	157	190	25	58
1	0	35	161	195	25	59
1	0	36	165	200	25	60
1	0	37	169	205	25	61
1	0	38	173	210	25	62
1	0	39	177	215	25	63
1	0	40	181	220	25	64
1	0	41	185	225	25	65
1	0	42	189	230	25	66
1	0	43	193	235	25	67
1	0	44	197	240	25	68
1	0	45	201	245	25	69
1	0	46	205	250	25	70
1	0	47	209	255	25	71
1	0	48	213	260	25	72
1	0	49	217	265	25	73
1	0	50	221	270	25	74
1	0	51	225	275	25	75
1	0	52	229	280	25	76
1	0	53	233	285	25	77
1	0	54	237	290	25	78
1	0	55	241	295	25	79
1	0	56	245	300	25	80
1	0	57	249	305	25	81
1	0	58	253	310	25	82
1	0	59	257	315	25	83
1	0	60	261	320	25	84
1	0	61	265	325	25	85
1	0	62	269	330	25	86
1	0	63	273	335	25	87
1	0	64	277	340	25	88
1	0	65	281	345	25	89
1	0	66	285	350	25	90
1	0	67	289	355	25	91
1	0	68	293	360	25	92
1	0	69	297	365	25	93
1	0	70	301	370	25	94
1	0	71	305	375	25	95
1	0	72	309	380	25	96
1	0	73	313	385	25	97
1	0	74	317	390	25	98
1	0	75	321	395	25	99
1	0	76	325	400	25	100
1	0	77	329	405	25	101
1	0	78	333	410	25	102
1	0	79	337	415	25	103
1	0	80	341	420	25	104
1	0	81	345	425	25	105
1	0	82	349	430	25	106
1	0	83	353	435	25	107
1	0	84	357	440	25	108
1	0	85	361	445	25	109
1	0	86	365	450	25	110
1	0	87	369	455	25	111
1	0	88	373	460	25	112
1	0	89	377	465	25	113
1	0	90	381	470	25	114
1	0	91	385	475	25	115
1	0	92	389	480	25	116
1	0	93	393	485	25	117
1	0	94	397	490	25	118
1	0	95	401	495	25	119
1	0	96	405	500	25	120
1	0	97	409	505	25	121
1	0	98	413	510	25	122
1	0	99	417	515	25	123
1	0	100	421	520	25	124
1	0	101	425	525	25	125
1	0	102	429	530	25	126
1	0	103	433	535	25	127
1	0	104	437	540	25	128
1	0	105	441	545	25	129
1	0	106	445	550	25	130
1	0	107	449	555	25	131
1	0	108	453	560	25	132
1	0	109	457	565	25	133
1	0	110	461	570	25	134
1	0	111	465	575	25	135
1	0	112	469	580	25	136
1	0	113	473	585	25	137
1	0	114	477	590	25	138
1	0	115	481	595	25	139
1	0	116	485	600	25	140
1	0	117	489	605	25	141
1	0	118	493	610	25	142
1	0	119	497	615	25	143
1	0	120	501	620	25	144
1	0	121	505	625	25	145
1	0	122	509	630	25	146
1	0	123	513	635	25	147
1	0	124	517	640	25	148
1	0	125	521	645	25	149
1	0	126	525	650	25	150
1	0	127	529	655	25	151
1	0	128	533	660	25	152
1	0	129	537	665	25	153
1	0	130	541	670	25	154
1	0	131	545	675	25	155
1	0	132	549	680	25	156
1	0	133	553	685	25	157
1	0	134	557	690	25	158
1	0	135	561	695	25	159
1	0	136	565	700	25	160
1	0	137	569	705	25	161
1	0	138	573	710	25	162
1	0	139	577	715	25	163
1	0	140	581	720	25	164
1	0	141	585	725	25	165
1	0	142	589	730	25	166
1	0	143	593	735	25	167
1	0	144	597	740	25	168
1	0	145	601	745	25	169
1	0	146	605	750	25	170
1	0	147	609	755	25	171
1	0	148	613	760	25	172
1	0	149	617	765	25	173
1	0	150	621	770	25	174
1	0	151	625	775	25	175
1	0	152	629	780	25	176
1	0	153	633	785	25	177
1	0	154	637	790	25	178
1	0	155	641	795	25	179
1	0	156	645	800	25	180
1	0	157	649	805	25	181
1	0	158	653	810	25	182
1	0	159	657	815	25	183
1	0	160	661	820	25	184
1	0	161	665	825	25	185
1	0	162	669	830	25	186
1	0	163	673	835	25	187
1	0	164	677	840	25	188
1	0	165	681	845	25	189
1	0	166	685	850	25	190
1	0	167	689	855	25	191
1	0	168	693	860	25	192
1	0	169	697	865	25	193
1	0	170	701	870	25	194
1	0	171	705	875	25	195
1	0	172	709	880	25	196
1	0	173	713	885	25	197
1	0	174	717	890	25	198
1	0	175	721	895	25	199
1	0	176	725	900	25	200
1	0	177	729	905	25	201
1	0	178	733	910	25	202
1	0	179	737	915	25	203
1	0	180	741	920	25	204
1	0	181	745	925	25	205
1	0	182	749	930	25	206
1	0	183	753	935	25	207
1	0	184	757	940	25	208
1	0	185	761	945	25	209
1	0	186	765	950	25	210
1	0	187	769	955	25	211
1	0	188	773	960	25	212
1	0	189	777	965	25	213
1	0	190	781	970	25	214
1	0	191	785	975	25	215
1	0	192	789	980	25	216
1	0	193	793	985	25	217
1	0	194	797	990	25	218
1	0	195	801	995	25	219
1	0	196	805	1000	25	220
1	0	197	809	1005	25	221
1	0	198	813	1010	25	222
1	0	199	817	1015	25	223
1	0	200	821	1020	25	224
1	0	201	825	1025	25	225
1	0	202	829	1030	25	226
1	0	203	833	1035	25	227
1	0	204	837	1040	25	228
1	0	205	841	1045	25	229
1	0	206	845	1050	25	230
1	0	207	849	1055	25	231
1	0	208	853	1060	25	232
1	0	209	857	1065	25	233
1	0	210	861	1070	25	234
1	0	211	865	1075	25	235
1	0	212	869	1080	25	236
1	0	213	873	1085	25	237
1	0	214	877	1090	25	238
1	0	215	881	1095	25	239
1	0	216	885	1100	25	240
1	0	217	889	1105	25	241
1	0	218	893	1110	25	242
1	0	219	897	1115	25	243
